id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM5176148_Treat	0	0.0104394230060471	0.0482035533456642	0.0379362663142262	0	0.149438658357281	0.0110974285600953	0.0782595619593379	0.0167448094632301	0.0392069112165015	0	0.0350384995075667	0.0502604841132808	0.0255332468727064	0.0718366803395297	0.279865770949105	0.0124741185571617	0	0.124639927055085	0	0	0.00902466038318152
GSM1332211_Treat	0.0204659201366836	0.0240623474852103	0.00740123047941425	0.0286879372413419	0	0	0.0226629281086559	0.0132306762187192	0.0300638328039059	0.0153596950641873	0.0225101825586561	0	0	0.247492885388999	0.0519545335282147	0.38745382787273	0	0	0.125625047890007	0	0	0.00302895522327506
GSM1332212_Treat	0.00229434981670808	0.0275056391556972	0.00236120751519867	0.00452286985285139	0	0.0122406730556447	0.00832558546140718	0.0220362689605957	0.0241305808515432	0.0321179572749298	0	0	0	0.262678552359824	0.0208361623812974	0.387735492816651	0.00661751871337609	0	0.183058804872144	0	0	0.003538336912132
GSM1332213_Treat	0.035653204277857	0	0.0590131870386	0.0774772678427167	0	0	0.0370893362243313	0.028475083274983	0.0430887265232983	0	0	0.0269225267764215	0.0710911154403941	0.0310692840354925	0.0314494444567954	0.397896912122657	0.0255859759007664	0	0.135187936085687	0	0	0
GSM1332214_Treat	0	0.046723671452333	0.0117525697259463	0.0250362200030276	0	0.0652992220248299	0	0.0180547303952089	0.011956165000205	0.0191775688109331	0	0.0167562259810823	0.0360437260339534	0.201016031362476	0.0491203779744707	0.348242577938948	0	0	0.145208041492667	0.00561287180391812	0	0
GSM1332215_Treat	0	0.08063825320227	0.0623240942095046	0.000975576615727054	0	0.0503329949309524	0.0194039064762031	0	0.00395334701334794	0.0404275640199482	0	0	0.115801795733814	0.0553524648380925	0.0255966332802802	0.278529383996987	0.0153611776539839	0	0.25130280802889	0	0	0
GSM1332216_Treat	0.00435222143363481	0.0256714303346202	0	0.0373310203321205	0	0.0521629434819358	0.0273156610616543	0.00153791083956073	0.0126615331418551	0	0	0.0154769517417711	0.107954151037552	0	0.0720245231292848	0.319706408918839	0.0367039645672328	0	0.284432529942202	0	0	0.00266875003773748
GSM1332217_Treat	0	0.0651552925465355	0.0606708304497049	0	0	0.0186829997050019	0	0	0.0424963697934979	0.0280674555738292	0.01289359191083	0	0	0.22499974939025	0.0496172707128299	0.317946668071095	0	0	0.168773403302251	0	0	0.0106963685441755
GSM1332218_Treat	0.0142526634622706	0.0179964600214453	0.0406012360791389	0.026122999010183	0	0.0148036667715158	0.0017994093169922	0.00228430029450691	0.0231160984850226	0	0.00255673458997098	0.00177601911612786	0	0.036224613337276	0.0399452865579031	0.608935728778607	0.0140101165739632	0	0.106161503572111	0	0	0.0494131640329655
GSM1332219_Treat	0	0.103318851294239	0.0353059434645522	0.013771513616867	0	0.0742907773368398	0	0.0133610378369143	0.0409182472527704	0	0.0118626243951528	0	0.016895540471867	0.00443431760323986	0.0452167801883674	0.312204127170764	0.0388151706494077	0	0.269526871611293	0	0	0.0200781971077248
GSM1332220_Treat	0	0.0953174314355906	0.146031005837122	0.0347645967520733	0	0.0710854712926549	0	0	0.0490856454209878	0.00249112192173016	0	0	0.00816061523388304	0	0.0592385465000748	0.325055478877445	0.0600000987247778	0	0.138401033467902	0	0	0.0103689545357579
GSM1337327_Treat	0	0.0782491559606533	0.0291333367063648	0	0	0.0866778659571956	0	0.028814551574595	0.0266815144710615	0.010694500960723	0	0.0170669311116186	0	0.0302491779229092	0.0661216491721641	0.395727620329921	0.0159362130833677	0	0.18743845727098	0	0	0.0272090254784456
GSM1337328_Treat	0.0163191730453358	0.0441674546488597	0	0.000618255093875829	0	0.0613321759816099	0	0.0300705990220607	0.0112652639250712	0.0232916759320274	0	0.0253163392220399	0.0707465226207639	0.0502140226561955	0.0572020238976269	0.448405530686707	0.0349685110270119	0	0.125011223313292	0	0	0.00107122892752257
GSM1337329_Treat	0.00929129359507054	0.0353645934124316	0.0872519942959978	0.0524464111482253	0	0.0525067109283979	0.00199011009785492	0	0.045717503722364	0.003823196721606	0	0.010435157545666	0.0709015370418928	0	0.0408244705031048	0.302217653935978	0.0363965887026494	0	0.247440120300093	0	0	0.00339265804866803
GSM1337330_Treat	0.015867987147296	0.102010811514438	0.127081313806775	0.0748202502022086	0	0.0371175952679812	0.00458606980120411	0.0620715776341927	0.0122700854306213	0.0245276110827866	0	0.0111991125736549	0.0127796348614788	0.0647301838147783	0.0363301393828568	0.208996912458132	0.0208057723337476	0	0.184699159612692	0	0	0.000105783075156149
GSM1337331_Treat	0	0.068045213458895	0.0181312007986296	0	0	0.0469513429539407	0.0218711369266749	0	0.0392448729464026	0.0414926383429416	0	0	0.00209947758067162	0	0.050866103393303	0.292518156247081	0.0590061786449107	0	0.359773678706549	0	0	0
GSM1337332_Treat	0.0408825409580202	0	0	0.0101109693862827	0	0.0643889656937508	0.00235273420652376	0.000650674087216575	0	0	0	0.0275112709361508	0.0430499787900235	0.00341514731588938	0.0336757118360235	0.54273913584313	0.00769696566276255	0	0.148542923151553	0	0	0.0749829821326727
GSM1337333_Treat	0	0.105586183112046	0.0412050046113375	0.0214022119911052	0	0.0118515951061119	0.00317596430442401	0.0140792542668345	0.0154452378886794	0.0351737005315393	0	0.0334572170675863	0.0328688589375091	0	0.0367796435362228	0.3801071030015	0.0333103708293002	0	0.216182529551723	0	0	0.0193751252640808
GSM1337334_Treat	0	0.0477940533052069	0.0249286295108059	0	0	0.0534361851339502	0.00242401101058824	0.0271883575664141	0.0327772687255023	0.0083645609909194	0	0.0121559089844489	0.0527236359791805	0.113075289777573	0.0369955418984786	0.38394180556475	0.025231223238019	0	0.156947722081588	0.000434069014734923	0	0.0215817372178401
GSM1337335_Treat	0.0349998573389882	0.00836557063537191	0.0155984366317935	0	0	0.0437878953790122	0.00557804248457507	0.0163260353549216	0.0180947419725455	0.0625410152662731	0	0.0276866658664147	0	0.105097141037891	0.0403342763212322	0.352990327407921	0.0284647178057962	0	0.230721153424439	0	0	0.00941412307282419
GSM1337336_Treat	0.0233158942848419	0.0113205582257126	0.00567344805214511	0.0224229907047446	0	0.0332543153970503	0	0.0103138475117893	0.0280323544951475	0	0.016172284518946	0	0.0667640560058292	0.080437743224617	0.0322222309034118	0.555340364769331	0.0104105961480698	0	0.0975621200027913	0	0	0.0067571957555724
GSM1339633_Treat	0.0154594527799438	0.000624393973301108	0	0.0130273192773548	0	0.0497321583529793	0	0.00523309647245337	0.0104162584112063	0.0168312452938597	0	0.0326944518718332	0.0931675428241296	0.00601003407065942	0.0218385867142023	0.4887361552156	0.042607052995084	0	0.182582756405625	0	0	0.0210394953417676
GSM1339631_Treat	0	0.110596933754088	0.0345276013579851	0.00322933010960097	0	0	0	0	0.0260728762288685	0	0.0366333813885465	0.00688237839196032	0.0317282591271186	0.167037774587392	0.0378647423036835	0.262123414813757	0	0	0.282175180432384	0	0	0.00112812750461617
GSM1339630_Treat	0.0237817003143672	0.0101309710427863	0	0	0	0.0102501040632917	0.00133502787506773	0.0032790965050851	0.0363355992447174	0.00694511657620374	0.000938065334456437	0	0	0.265159373358006	0.0233213475814536	0.488779293736103	0.0052156585394908	0	0.124528645828971	0	0	0
GSM1339629_Treat	0.00221266923850561	0.0515351537214327	0.00498128628799964	0.0329885837581349	0	0.0422089832046332	0.0169654675699026	0	0.0456419548362931	0	0	0.0079891094950942	0.00186313134855725	0.0894861046503702	0.042073942281146	0.317293034783605	0.0415943948402175	0	0.290807066195228	0	0	0.0123591177888798
GSM1339628_Treat	0.0606675852488048	0.0279856532867593	0.178137892999732	0.0456983053884985	0	0.0926667590702482	0	0.0179379435080666	0.0142448468006214	0	0	0.02739863864986	0.0149927392392459	0	0.0289743838184897	0.323008224537916	0.00151318848856154	0	0.137276596489564	0.0136882108313161	0	0.015809031642316
