id	Type
AHCY	FRG
AHCYL1	FRG
AHCYL2	FRG
AHDC1	FRG
AHI1	FRG
AHNAK	FRG
AHNAK2	FRG
AHR	FRG
AHSA1	FRG
AHSA2	FRG
AHSG	FRG
AHSP	FRG
AICDA	FRG
AIDA	FRG
AIF1	FRG
AIFM1	FRG
AIM1	FRG
AIM1L	FRG
AIM2	FRG
AIMP1	FRG
AIMP2	FRG
AIP	FRG
AIPL1	FRG
AIRE	FRG
AJAP1	FRG
AK021537	FRG
AK021933	FRG
AK055981	FRG
AK1	FRG
AK2	FRG
AK5	FRG
AK6	FRG
AKAP1	FRG
AKAP10	FRG
AKAP11	FRG
AKAP12	FRG
AKAP13	FRG
AKAP17A	FRG
AKAP3	FRG
AKAP4	FRG
AKAP5	FRG
AKAP6	FRG
AKAP7	FRG
AKAP8	FRG
AKAP8L	FRG
AKAP9	FRG
AKIP1	FRG
AKIRIN1	FRG
AKR1A1	FRG
AKR1B1	FRG
AKR1B10	FRG
AKR1C1	FRG
AKR1C3	FRG
AKR1C4	FRG
AKR1D1	FRG
AKR7A2	FRG
AKR7A3	FRG
AKT1	FRG
AKT2	FRG
AKT3	FRG
AKTIP	FRG
AL109706	FRG
AL590762.11	FRG
ALAD	FRG
ALAS1	FRG
ALAS2	FRG
ALB	FRG
ALCAM	FRG
ALDH18A1	FRG
ALDH1A1	FRG
ALDH1A2	FRG
ALDH1A3	FRG
ALDH1B1	FRG
ALDH1L1	FRG
ALDH2	FRG
ALDH3A1	FRG
ALDH3A2	FRG
ALDH3B1	FRG
ALDH3B2	FRG
ALDH4A1	FRG
ALDH5A1	FRG
ALDH6A1	FRG
ALDH7A1	FRG
ALDH8A1	FRG
ALDH9A1	FRG
ALDOA	FRG
ALDOAP2	FRG
ALDOB	FRG
ALDOC	FRG
ALG12	FRG
ALG13	FRG
ALG3	FRG
ALG5	FRG
ALG6	FRG
ALG8	FRG
ALG9	FRG
ALK	FRG
ALKBH1	FRG
ALKBH4	FRG
ALLC	FRG
ALMS1	FRG
ALOX12	FRG
ALOX12B	FRG
ALOX12P2	FRG
ALOX15	FRG
ALOX15B	FRG
ALOX5	FRG
ALOX5AP	FRG
ALOXE3	FRG
ALPI	FRG
ALPK1	FRG
ALPK3	FRG
ALPL	FRG
ALPP	FRG
ALPPL2	FRG
ALS2CL	FRG
ALX1	FRG
ALX3	FRG
ALX4	FRG
AMACR	FRG
AMBN	FRG
AMBP	FRG
AMBRA1	FRG
AMD1	FRG
AMELX	FRG
AMELY	FRG
AMFR	FRG
AMHR2	FRG
AMIGO2	FRG
AMMECR1	FRG
AMN	FRG
AMOT	FRG
AMOTL2	FRG
AMPD1	FRG
AMPD2	FRG
AMPD3	FRG
AMPH	FRG
AMT	FRG
AMZ2	FRG
ANAPC10	FRG
ANAPC13	FRG
ANAPC15	FRG
ANAPC2	FRG
ANAPC5	FRG
ANG	FRG
ANGEL1	FRG
ANGEL2	FRG
ANGPT1	FRG
ANGPT2	FRG
ANGPT4	FRG
ANGPTL2	FRG
ANGPTL3	FRG
ANGPTL4	FRG
ANGPTL7	FRG
ANK1	FRG
ANK2	FRG
ANK3	FRG
ANKEF1	FRG
ANKFY1	FRG
ANKH	FRG
ANKLE2	FRG
ANKMY1	FRG
ANKMY2	FRG
ANKRA2	FRG
ANKRD1	FRG
ANKRD10	FRG
ANKRD10-IT1	FRG
ANKRD11	FRG
ANKRD12	FRG
ANKRD17	FRG
ANKRD2	FRG
ANKRD26	FRG
ANKRD27	FRG
ANKRD28	FRG
ANKRD34C	FRG
ANKRD36	FRG
ANKRD36B	FRG
ANKRD36BP2	FRG
ANKRD40	FRG
ANKRD46	FRG
ANKRD49	FRG
ANKRD53	FRG
ANKRD55	FRG
ANKRD6	FRG
ANKRD7	FRG
ANKS1A	FRG
ANKS1B	FRG
ANKZF1	FRG
ANO1	FRG
ANO10	FRG
ANO2	FRG
ANO3	FRG
ANP32A	FRG
ANP32A-IT1	FRG
ANP32B	FRG
ANP32C	FRG
ANP32D	FRG
ANP32E	FRG
ANPEP	FRG
ANTXR1	FRG
ANXA1	FRG
ANXA10	FRG
ANXA11	FRG
ANXA13	FRG
ANXA2	FRG
ANXA2P1	FRG
ANXA2P2	FRG
ANXA2P3	FRG
ANXA3	FRG
ANXA4	FRG
ANXA5	FRG
ANXA6	FRG
ANXA7	FRG
ANXA9	FRG
AOAH	FRG
AOC1	FRG
AOC2	FRG
AOC3	FRG
AOC4P	FRG
AOX1	FRG
AP1AR	FRG
AP1B1	FRG
AP1G1	FRG
AP1G2	FRG
AP1M2	FRG
AP1S1	FRG
AP1S2	FRG
AP2A2	FRG
AP2B1	FRG
AP2M1	FRG
AP2S1	FRG
AP3B1	FRG
AP3B2	FRG
AP3D1	FRG
AP3M2	FRG
AP3S1	FRG
AP4E1	FRG
AP4M1	FRG
AP4S1	FRG
AP5M1	FRG
AP5S1	FRG
APAF1	FRG
APBA1	FRG
APBA2	FRG
APBA3	FRG
APBB1	FRG
APBB1IP	FRG
APBB2	FRG
APC	FRG
APC2	FRG
APCS	FRG
APEH	FRG
APEX1	FRG
APEX2	FRG
APH1A	FRG
APH1B	FRG
API5	FRG
APIP	FRG
APLNR	FRG
APLP1	FRG
APLP2	FRG
APMAP	FRG
APOA1	FRG
APOA2	FRG
APOA4	FRG
APOB	FRG
APOBEC1	FRG
APOBEC2	FRG
APOBEC3B	FRG
APOBEC3C	FRG
APOBEC3F	FRG
APOBEC3G	FRG
APOBR	FRG
APOC1	FRG
APOC3	FRG
APOD	FRG
APOE	FRG
APOF	FRG
APOH	FRG
APOL1	FRG
APOL2	FRG
APOL3	FRG
APOL5	FRG
APOL6	FRG
APOLD1	FRG
APOM	FRG
APOO	FRG
APOOL	FRG
APP	FRG
APPBP2	FRG
APPL1	FRG
APPL2	FRG
APRT	FRG
APTX	FRG
AQP1	FRG
AQP2	FRG
AQP3	FRG
AQP4	FRG
AQP5	FRG
AQP6	FRG
AQP8	FRG
AQP9	FRG
AQR	FRG
AR	FRG
ARAF	FRG
ARAP1	FRG
ARAP3	FRG
ARC	FRG
ARCN1	FRG
AREG	FRG
AREL1	FRG
ARF3	FRG
ARF4	FRG
ARF5	FRG
ARF6	FRG
ARFGAP1	FRG
ARFGAP2	FRG
ARFGAP3	FRG
ARFGEF1	FRG
ARFGEF2	FRG
ARFIP1	FRG
ARFIP2	FRG
ARFRP1	FRG
ARG1	FRG
ARG2	FRG
ARGLU1	FRG
ARHGAP1	FRG
ARHGAP10	FRG
ARHGAP11A	FRG
ARHGAP12	FRG
ARHGAP17	FRG
ARHGAP19	FRG
ARHGAP22	FRG
ARHGAP24	FRG
ARHGAP25	FRG
ARHGAP26	FRG
ARHGAP28	FRG
ARHGAP29	FRG
ARHGAP32	FRG
ARHGAP33	FRG
ARHGAP35	FRG
ARHGAP4	FRG
ARHGAP44	FRG
ARHGAP5	FRG
ARHGAP6	FRG
ARHGDIA	FRG
ARHGDIB	FRG
ARHGDIG	FRG
ARHGEF10	FRG
ARHGEF10L	FRG
ARHGEF11	FRG
ARHGEF12	FRG
ARHGEF15	FRG
ARHGEF16	FRG
ARHGEF17	FRG
ARHGEF18	FRG
ARHGEF2	FRG
ARHGEF26	FRG
ARHGEF28	FRG
ARHGEF3	FRG
ARHGEF38	FRG
ARHGEF4	FRG
ARHGEF40	FRG
ARHGEF5	FRG
ARHGEF6	FRG
ARHGEF7	FRG
ARHGEF9	FRG
ARID1A	FRG
ARID3A	FRG
ARID3B	FRG
ARID4A	FRG
ARID4B	FRG
ARID5A	FRG
ARID5B	FRG
ARIH1	FRG
ARIH2	FRG
ARL1	FRG
ARL14	FRG
ARL15	FRG
ARL2	FRG
ARL2BP	FRG
ARL3	FRG
ARL4A	FRG
ARL4C	FRG
ARL4D	FRG
ARL6IP1	FRG
ARL6IP4	FRG
ARL6IP5	FRG
ARL8B	FRG
ARMC1	FRG
ARMC4	FRG
ARMC6	FRG
ARMC7	FRG
ARMC8	FRG
ARMC9	FRG
ARMCX1	FRG
ARMCX2	FRG
ARMCX3	FRG
ARMCX4	FRG
ARMCX5	FRG
ARMCX6	FRG
ARNT	FRG
ARNT2	FRG
ARNTL	FRG
ARNTL2	FRG
ARPC1A	FRG
ARPC1B	FRG
ARPC2	FRG
ARPC3	FRG
ARPC4	FRG
ARPC5	FRG
ARPC5L	FRG
ARPIN	FRG
ARPP19	FRG
ARPP21	FRG
ARR3	FRG
ARRB1	FRG
ARRB2	FRG
ARSA	FRG
ARSB	FRG
ARSD	FRG
ARSE	FRG
ARSF	FRG
ARSJ	FRG
ART1	FRG
ART3	FRG
ART4	FRG
ARTN	FRG
ARVCF	FRG
ASAH1	FRG
ASAP1	FRG
ASAP1-IT1	FRG
ASAP2	FRG
ASAP3	FRG
ASB1	FRG
ASB13	FRG
ASB4	FRG
ASB6	FRG
ASB7	FRG
ASB8	FRG
ASB9	FRG
ASCC1	FRG
ASCC2	FRG
ASCC3	FRG
ASCL1	FRG
ASCL2	FRG
ASCL3	FRG
ASF1A	FRG
ASF1B	FRG
ASGR1	FRG
ASGR2	FRG
ASH1L	FRG
ASH2L	FRG
ASIC1	FRG
ASIC2	FRG
ASIC4	FRG
ASIP	FRG
ASL	FRG
ASMT	FRG
ASMTL	FRG
ASMTL-AS1	FRG
ASNA1	FRG
ASNS	FRG
ASNSD1	FRG
ASPA	FRG
ASPH	FRG
ASPHD1	FRG
ASPM	FRG
ASPN	FRG
ASPSCR1	FRG
ASRGL1	FRG
ASS1	FRG
ASTE1	FRG
ASTN1	FRG
ASTN2	FRG
ASUN	FRG
ASXL1	FRG
ASXL2	FRG
ASXL3	FRG
ATAD2	FRG
ATAD2B	FRG
ATAD5	FRG
ATAT1	FRG
ATF1	FRG
ATF2	FRG
ATF3	FRG
ATF4	FRG
ATF5	FRG
ATF6	FRG
ATF6B	FRG
ATF7	FRG
ATF7IP	FRG
ATF7IP2	FRG
ATG10	FRG
ATG101	FRG
ATG12	FRG
ATG13	FRG
ATG14	FRG
ATG16L1	FRG
ATG2A	FRG
ATG2B	FRG
ATG3	FRG
ATG4A	FRG
ATG4B	FRG
ATG5	FRG
ATG7	FRG
ATG9A	FRG
ATHL1	FRG
ATIC	FRG
ATM	FRG
ATMIN	FRG
ATN1	FRG
ATOH1	FRG
ATOX1	FRG
ATP10A	FRG
ATP10B	FRG
ATP10D	FRG
ATP11A	FRG
ATP11B	FRG
ATP12A	FRG
ATP13A1	FRG
ATP13A2	FRG
ATP13A3	FRG
ATP1A1	FRG
ATP1A2	FRG
ATP1B1	FRG
ATP1B2	FRG
ATP1B3	FRG
ATP1B4	FRG
ATP2A1	FRG
ATP2A2	FRG
ATP2A3	FRG
ATP2B1	FRG
ATP2B2	FRG
ATP2B3	FRG
ATP2B4	FRG
ATP2C1	FRG
ATP2C2	FRG
ATP4A	FRG
ATP4B	FRG
ATP5A1	FRG
ATP5B	FRG
ATP5C1	FRG
ATP5D	FRG
ATP5E	FRG
ATP5F1	FRG
ATP5G1	FRG
ATP5G2	FRG
ATP5G3	FRG
ATP5H	FRG
ATP5I	FRG
ATP5J	FRG
ATP5L	FRG
ATP5O	FRG
ATP5S	FRG
ATP5SL	FRG
ATP6AP1	FRG
ATP6AP2	FRG
ATP6V0A1	FRG
ATP6V0A2	FRG
ATP6V0A4	FRG
ATP6V0B	FRG
ATP6V0C	FRG
ATP6V0D1	FRG
ATP6V0E1	FRG
ATP6V0E2	FRG
ATP6V1A	FRG
ATP6V1B1	FRG
ATP6V1B2	FRG
ATP6V1C1	FRG
ATP6V1D	FRG
ATP6V1E1	FRG
ATP6V1G1	FRG
ATP6V1G2	FRG
ATP6V1H	FRG
ATP7A	FRG
ATP7B	FRG
ATP8A1	FRG
ATP8A2	FRG
ATP8B1	FRG
ATP8B2	FRG
ATP8B3	FRG
ATP8B4	FRG
ATP9A	FRG
ATP9B	FRG
ATPAF2	FRG
ATPIF1	FRG
ATR	FRG
ATRAID	FRG
ATRN	FRG
ATRNL1	FRG
ATRX	FRG
ATXN1	FRG
ATXN10	FRG
ATXN2	FRG
ATXN2L	FRG
ATXN3	FRG
ATXN3L	FRG
ATXN7	FRG
ATXN7L1	FRG
ATXN7L3B	FRG
ATXN8OS	FRG
AUH	FRG
AUNIP	FRG
AUP1	FRG
AURKA	FRG
AURKAIP1	FRG
AURKB	FRG
AURKC	FRG
AUTS2	FRG
AVEN	FRG
AVIL	FRG
AVL9	FRG
AVP	FRG
AVPI1	FRG
AVPR1A	FRG
AVPR1B	FRG
AVPR2	FRG
AXIN1	FRG
AXL	FRG
AZGP1	FRG
AZGP1P1	FRG
AZI2	FRG
AZIN1	FRG
AZU1	FRG
B2M	FRG
B3GALNT1	FRG
B3GALT1	FRG
B3GALT2	FRG
B3GALT4	FRG
B3GALT5	FRG
B3GAT1	FRG
B3GAT3	FRG
B3GNT1	FRG
B3GNT2	FRG
B3GNT3	FRG
B3GNT4	FRG
B3GNTL1	FRG
B4GALNT1	FRG
B4GALT1	FRG
B4GALT2	FRG
B4GALT3	FRG
B4GALT4	FRG
B4GALT5	FRG
B4GALT6	FRG
B4GALT7	FRG
B9D1	FRG
B9D2	FRG
BAALC	FRG
BAAT	FRG
BABAM1	FRG
BACE1	FRG
BACE2	FRG
BACH1	FRG
BACH2	FRG
BAD	FRG
BAG1	FRG
BAG2	FRG
BAG3	FRG
BAG4	FRG
BAG5	FRG
BAG6	FRG
BAGE	FRG
BAHCC1	FRG
BAHD1	FRG
BAI1	FRG
BAI2	FRG
BAI3	FRG
BAIAP2	FRG
BAIAP2L2	FRG
BAIAP3	FRG
BAK1	FRG
BAMBI	FRG
BANF1	FRG
BANK1	FRG
BANP	FRG
BAP1	FRG
BARD1	FRG
BARX1	FRG
BARX2	FRG
BASP1	FRG
BATF	FRG
BATF3	FRG
BAX	FRG
BAZ1A	FRG
BAZ1B	FRG
BAZ2A	FRG
BAZ2B	FRG
BBIP1	FRG
BBOX1	FRG
BBS1	FRG
BBS10	FRG
BBS4	FRG
BBS7	FRG
BBS9	FRG
BBX	FRG
BC069004	FRG
BC069739	FRG
BC069756	FRG
BC069776	FRG
BC113958	FRG
BCAM	FRG
BCAN	FRG
BCAP29	FRG
BCAP31	FRG
BCAR3	FRG
BCAS1	FRG
BCAS2	FRG
BCAS3	FRG
BCAS4	FRG
BCAT1	FRG
BCAT2	FRG
BCCIP	FRG
BCHE	FRG
BCKDHA	FRG
BCKDHB	FRG
BCKDK	FRG
BCL10	FRG
BCL11A	FRG
BCL11B	FRG
BCL2	FRG
BCL2A1	FRG
BCL2L1	FRG
BCL2L10	FRG
BCL2L11	FRG
BCL2L13	FRG
BCL2L14	FRG
BCL2L2	FRG
BCL6	FRG
BCL7A	FRG
BCL7B	FRG
BCL7C	FRG
BCL9	FRG
BCLAF1	FRG
BCMO1	FRG
BCOR	FRG
BCORL1	FRG
BCR	FRG
BCS1L	FRG
BDH1	FRG
BDH2	FRG
BDKRB1	FRG
BDKRB2	FRG
BDNF	FRG
BEAN1	FRG
BECN1	FRG
BEGAIN	FRG
BEND5	FRG
BEST1	FRG
BEST2	FRG
BET1	FRG
BET1L	FRG
BEX1	FRG
BEX4	FRG
BFAR	FRG
BFSP1	FRG
BFSP2	FRG
BGN	FRG
BHLHB9	FRG
BHLHE40	FRG
BHLHE41	FRG
BHMT	FRG
BHMT2	FRG
BICC1	FRG
BICD1	FRG
BICD2	FRG
BID	FRG
BIK	FRG
BIN1	FRG
BIN2	FRG
BIN3	FRG
BIN3-IT1	FRG
BIRC2	FRG
BIRC3	FRG
BIRC5	FRG
BIRC7	FRG
BLCAP	FRG
BLK	FRG
BLM	FRG
BLMH	FRG
BLNK	FRG
BLOC1S1	FRG
BLVRA	FRG
BLVRB	FRG
BLZF1	FRG
BMP1	FRG
BMP10	FRG
BMP15	FRG
BMP2	FRG
BMP2K	FRG
BMP3	FRG
BMP4	FRG
BMP5	FRG
BMP6	FRG
BMP7	FRG
BMP8A	FRG
BMP8B	FRG
BMPR1A	FRG
BMPR1B	FRG
BMPR2	FRG
BMS1	FRG
BMX	FRG
BNC1	FRG
BNC2	FRG
BNIP1	FRG
BNIP2	FRG
BNIP3	FRG
BNIP3L	FRG
BOLA1	FRG
BORA	FRG
BPESC1	FRG
BPGM	FRG
BPHL	FRG
BPIFA1	FRG
BPNT1	FRG
BPTF	FRG
BPY2	FRG
BRAP	FRG
BRCA1	FRG
BRCA2	FRG
BRCC3	FRG
BRD1	FRG
BRD2	FRG
BRD3	FRG
BRD4	FRG
BRD7	FRG
BRD7P3	FRG
BRD8	FRG
BRD9	FRG
BRDT	FRG
BRE	FRG
BRF1	FRG
BRF2	FRG
BRINP1	FRG
BRINP2	FRG
BRINP3	FRG
BRIP1	FRG
BRIX1	FRG
BRMS1	FRG
BRPF1	FRG
BRS3	FRG
BRSK2	FRG
BRWD1	FRG
BSDC1	FRG
BSG	FRG
BSN	FRG
BSPRY	FRG
BST1	FRG
BST2	FRG
BTAF1	FRG
BTBD1	FRG
BTBD18	FRG
BTBD2	FRG
BTBD3	FRG
BTBD7	FRG
BTC	FRG
BTD	FRG
BTF3	FRG
BTF3P11	FRG
BTG1	FRG
BTG2	FRG
BTG3	FRG
BTG4	FRG
BTK	FRG
BTN1A1	FRG
BTN2A1	FRG
BTN2A2	FRG
BTN2A3P	FRG
BTN3A1	FRG
BTN3A2	FRG
BTN3A3	FRG
BTNL2	FRG
BTNL3	FRG
BTNL8	FRG
BTRC	FRG
BUB1	FRG
BUB1B	FRG
BUB3	FRG
BUD31	FRG
BYSL	FRG
BZRAP1	FRG
BZW1	FRG
BZW2	FRG
C10orf10	FRG
C10orf12	FRG
C10orf2	FRG
C10orf76	FRG
C10orf88	FRG
C10orf95	FRG
C11orf1	FRG
C11orf16	FRG
C11orf21	FRG
C11orf24	FRG
C11orf30	FRG
C11orf49	FRG
C11orf57	FRG
C11orf58	FRG
C11orf63	FRG
C11orf68	FRG
C11orf71	FRG
C11orf73	FRG
C11orf80	FRG
C11orf95	FRG
C12orf10	FRG
C12orf29	FRG
C12orf4	FRG
C12orf43	FRG
C12orf49	FRG
C12orf5	FRG
C14orf1	FRG
C14orf105	FRG
C14orf132	FRG
C14orf159	FRG
C14orf166	FRG
C14orf169	FRG
C14orf2	FRG
C14orf79	FRG
C14orf93	FRG
C15orf39	FRG
C15orf49	FRG
C16orf3	FRG
C16orf45	FRG
C16orf58	FRG
C16orf59	FRG
C16orf62	FRG
C16orf70	FRG
C16orf71	FRG
C16orf80	FRG
C16orf95	FRG
C17orf53	FRG
C17orf59	FRG
C17orf62	FRG
C17orf70	FRG
C17orf75	FRG
C17orf80	FRG
C17orf85	FRG
C18orf25	FRG
C18orf8	FRG
C19orf10	FRG
C19orf24	FRG
C19orf26	FRG
C19orf40	FRG
C19orf53	FRG
C19orf54	FRG
C19orf57	FRG
C19orf60	FRG
C19orf66	FRG
C19orf73	FRG
C19orf80	FRG
C1D	FRG
C1GALT1	FRG
C1GALT1C1	FRG
C1QA	FRG
C1QB	FRG
C1QBP	FRG
C1QL1	FRG
C1QTNF1	FRG
C1QTNF3	FRG
C1QTNF9B-AS1	FRG
C1R	FRG
C1RL	FRG
C1S	FRG
C1orf105	FRG
C1orf106	FRG
C1orf109	FRG
C1orf112	FRG
C1orf115	FRG
C1orf116	FRG
C1orf123	FRG
C1orf159	FRG
C1orf174	FRG
C1orf21	FRG
C1orf216	FRG
C1orf27	FRG
C1orf35	FRG
C1orf50	FRG
C1orf54	FRG
C1orf56	FRG
C1orf61	FRG
C1orf68	FRG
C1orf95	FRG
C2	FRG
C20orf195	FRG
C20orf27	FRG
C21orf2	FRG
C21orf33	FRG
C21orf59	FRG
C21orf62	FRG
C21orf91	FRG
C22orf24	FRG
C22orf31	FRG
C22orf46	FRG
C2CD2	FRG
C2CD2L	FRG
C2CD3	FRG
C2CD5	FRG
C2orf27A	FRG
C2orf42	FRG
C2orf43	FRG
C2orf44	FRG
C2orf47	FRG
C2orf49	FRG
C2orf54	FRG
C2orf68	FRG
C2orf72	FRG
C2orf83	FRG
C3	FRG
C3AR1	FRG
C3orf14	FRG
C3orf18	FRG
C3orf27	FRG
C3orf36	FRG
C3orf52	FRG
C4BPA	FRG
C4BPB	FRG
C4orf19	FRG
C4orf27	FRG
C4orf29	FRG
C4orf6	FRG
C5	FRG
C5AR1	FRG
C5AR2	FRG
C5orf15	FRG
C5orf22	FRG
C5orf28	FRG
C5orf30	FRG
C5orf42	FRG
C5orf45	FRG
C5orf66	FRG
C6	FRG
C6orf10	FRG
C6orf106	FRG
C6orf120	FRG
C6orf123	FRG
C6orf15	FRG
C6orf211	FRG
C6orf25	FRG
C6orf47	FRG
C6orf48	FRG
C6orf62	FRG
C7	FRG
C7orf26	FRG
C7orf43	FRG
C7orf49	FRG
C7orf63	FRG
C7orf69	FRG
C8A	FRG
C8B	FRG
C8G	FRG
C8orf17	FRG
C8orf33	FRG
C8orf4	FRG
C8orf44	FRG
C8orf60	FRG
C9	FRG
C9orf114	FRG
C9orf116	FRG
C9orf156	FRG
C9orf16	FRG
C9orf3	FRG
C9orf38	FRG
C9orf40	FRG
C9orf53	FRG
C9orf78	FRG
C9orf9	FRG
C9orf91	FRG
CA1	FRG
CA10	FRG
CA11	FRG
CA12	FRG
CA14	FRG
CA2	FRG
CA3	FRG
CA4	FRG
CA5A	FRG
CA5B	FRG
