Node	Type
ALDH3A2	FRG
ATF3	FRG
ATG16L1	FRG
BRD2	FRG
BRD4	FRG
CDKN1A	FRG
CYB5R1	FRG
DAZAP1	FRG
DDR2	FRG
EGFR	FRG
FURIN	FRG
FZD7	FRG
GABARAPL2	FRG
GLRX5	FRG
GSTZ1	FRG
HSPA5	FRG
IL1B	FRG
IL6	FRG
MEF2C	FRG
MEG3	FRG
MTDH	FRG
NDRG1	FRG
PARK7	FRG
PARP6	FRG
PEX2	FRG
PGRMC1	FRG
PTGS2	FRG
RBMS1	FRG
RELA	FRG
SCP2	FRG
SLC25A28	FRG
SLC39A14	FRG
SNX5	FRG
SOCS1	FRG
TBK1	FRG
TFRC	FRG
TNFAIP3	FRG
ULK1	FRG
ZFP36	FRG
LIPT1	CRG
DBT	CRG
PDHB	CRG
FDX1	CRG
MTF1	CRG
DLAT	CRG
CDKN2A	both
