geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
WRNIP1	34.3	75.1	69.5	32.8	26.6	51.3	62	53.2	10.4	33.3	26.4	66.5	19.8	36.1	58.1	35.6
WSB1	543.44	509.46	508.46	394.14	315.3	497.86	430.96	473.82	347	403.42	463.02	327.92	390.86	500.8	443.32	538.78
WSB2	1427.4	1311	1899.8	1578.4	1764.9	1492.1	1858.9	1510.6	1980.1	2317.1	1237.4	1412.9	1442.5	1664.2	1691.9	2001.3
WSCD2	10.4	11.1	18.4	11.2	15.4	16.7	13.6	12.7	11.1	21.3	12.4	22.9	13.5	10.9	12.6	21.1
WT1	5.9	8.3	11.85	5.9	23.6	21.6	262	34.35	9.85	26.15	5.15	8.85	9.65	6.05	5.4	7.1
WT1-AS	180.9	173	174	197.9	372.4	288.4	176.7	255	35.8	159.7	178.3	145.5	154.3	151.3	131.5	89.3
WTAP	760.833333333333	787.333333333333	855.2	835.2	761.766666666667	825.4	778.466666666667	921.7	1128.7	1095.13333333333	636.4	569.533333333333	671.8	529.9	680.133333333333	903.666666666667
WWC1	48.25	50.4	58.25	97.1	82.75	60	95.3	110.05	38.75	51.9	38.35	87	107.05	54.35	31.45	69.25
WWC3	649.6	589.3	641.3	441.2	598.7	572.4	645.4	717.3	668.3	671.3	490.6	555.9	481.6	744	722.7	488
WWOX	453.833333333333	435.133333333333	359.266666666667	346.066666666667	512.1	510.4	456.333333333333	306.8	459.7	271.866666666667	402.266666666667	496.7	583.033333333333	379.333333333333	545.366666666667	487.2
WWP1	469.2	835.4	621.85	626.6	499.15	667.4	855.15	310.5	710.25	535.45	627.45	706.15	749.4	842.2	892.15	755.6
WWP2	422.6	491.6	584.15	499.1	259.9	415.8	485.4	522.9	395.15	474.7	397.9	520.85	436.2	427.15	396.9	413.2
WWTR1	783.333333333333	625.6	738.8	565.433333333333	530.9	489.766666666667	439.866666666667	502.333333333333	586.533333333333	843.233333333333	646.6	741.2	612.366666666667	742.8	742.033333333333	1036.96666666667
