geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LAIR1	159.2931	611.16945	116.606745	195.4382	131.013	238.5972	226.29165	580.8681	166.07505	173.41195	120.56635
LAIR2	211.656	529.395	126.976	147.298	114.708	492.705	87.8197	455.46	213.23	128.833	157.649
LALBA	78.3717	226.425	23.1676	34.4652	11.6388	44.3661	195.404	417.741	20.8152	228.706	13.3962
LAMA1	206.359	324.998	93.6848	74.8047	20.7564	53.2874	50.4537	654.908	88.5791	106.356	12.5235
LAMA2	212.67982	679.94913	214.043545	123.4765	158.37407	186.2820525	192.510025	430.26625	148.1804125	230.9138	95.652575
LAMA3	18.9797	39.0316	22.9633	22.035	31.837	34.1148	33.0026	54.0467	10.9579	21.7387	26.4932
LAMA4	126.4641	204.6965	84.717872	91.17304	80.55586	165.660884	213.328948	345.63812	169.63264	169.86784	99.33092
LAMA5	35.2398	325.65	96.983	142.702	53.8638	69.1121	218.402	300.897	156.437	32.977	60.0787
LAMB1	9.927365	129.765	8.593635	102.8357	17.07856	119.1263	221.376	401.955	159.29	121.868	62.0438
LAMB2	899.057	4771.41	1119.34	1341.88	1730.21	2057.48	2053.31	5726.93	1365.27	1852.97	929.111
LAMB3	288.506	606.375	84.831	143.22	145.048	4374.02	242.898	703.853	212.624	240.895	76.8563
LAMB4	33.821365	272.188	48.7578	37.7835	64.52405	30.21902	94.56135	160.2108	63.9772	33.5291	29.4989
LAMC1	337.7535	1915.954	550.045	400.117	425.3115	933.4645	786.1115	2637.46	745.3	1065.75	407.635
LAMC2	96.80275	134.8568	100.53815	31.875335	71.42935	326.01155	63.45735	179.7835	45.077015	58.00695	69.22745
LAMC3	238.649	956.788	253.621	241.325	306.822	96.0339	274.007	83.5827	87.0889	218.096	121.791
LAMP1	1666.83955	8307.7927	3414.32975	2723.25525	3412.6935	3162.81975	3011.1269	7992.5	2983.75825	3926.042375	2148.4675
LAMP2	219.339333333333	1126.489	445.304666666667	310.657	408.245666666667	575.68	470.900333333333	1313.68866666667	527.347	541.314	329.082666666667
LAMP3	27.2341	126.628	60.5679	6.7465	6.91199	236.939	49.4338	29.0339	27.0755	13.1819	22.7255
LAMP5	69.3784	442.946	43.1096	37.2685	29.7233	88.7264	34.0273	55.3548	53.1472	40.2473	7.66679
LAMTOR2	338.635	962.751	371.788	224.473	384.039	684.425	919.753	883.554	235.658	412.886	191.774
LAMTOR3	494.846	1876.06	521.812	333.978	413.207	697.385	511.875	1660.67	595.369	673.307	300.87
LAMTOR5	1378.67	4506.87	1824.36	1325.365	1542.405	1691.66	1447.01	3759.09	1597.385	1818	991.7565
LANCL1	497.7685	1615.17	566.279	396.748	476.188	732.9935	730.904	2271.065	589.527	863.7875	448.7065
LANCL2	189.379	694.241	148.316	66.9119	132.111	281.256	262.692	532.637	145.511	152.046	149.808
