"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1.0","0.0","1.0","0.0","1","1","0","false","CTC-459F4.1","2.0","1","0","false","0","CTC-459F4.1","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-717I24.1","2.0","1","0","false","0","RP11-717I24.1","0"
"1.0","0.0","1.0","0.0","1","1","0","false","LINC01002","2.0","1","0","false","0","LINC01002","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-830F9.6","2.0","1","0","false","0","RP11-830F9.6","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-166B2.5","2.0","1","0","false","0","RP11-166B2.5","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP3-470B24.5","2.0","1","0","false","0","RP3-470B24.5","0"
"1.0","0.0","1.0","0.0","1","1","0","false","GS1-251I9.3","2.0","1","0","false","0","GS1-251I9.3","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-397O4.1","2.0","1","0","false","0","RP11-397O4.1","0"
"1.0","0.0","1.0","0.0","1","2","0","false","AC137934.1","3.0","2","1","false","0","AC137934.1","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP13-507P19.2","2.0","1","0","false","0","RP13-507P19.2","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-368I7.4","2.0","1","0","false","0","RP11-368I7.4","0"
"1.0","0.0","1.0","0.0","1","1","0","false","GAS6-AS1","2.0","1","0","false","0","GAS6-AS1","0"
"1.0","0.0","1.0","0.0","1","1","0","false","CDR1-AS","2.0","1","0","false","0","CDR1-AS","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-627J17.1","2.0","1","0","false","0","RP11-627J17.1","0"
"1.0","0.0","1.0","0.0","1","2","0","false","CTC-265F19.1","2.0","2","0","false","0","CTC-265F19.1","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-458F8.4","2.0","1","0","false","0","RP11-458F8.4","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP11-54O7.17","2.0","1","0","false","0","RP11-54O7.17","0"
"1.0","0.0","1.0","0.0","1","1","0","false","LINC00240","2.0","1","0","false","0","LINC00240","0"
"1.0","0.0","1.0","0.0","1","1","0","false","XX-C2158C6.3","2.0","1","0","false","0","XX-C2158C6.3","0"
"1.0","0.0","1.0","0.0","1","1","0","false","TCF4-AS2","2.0","1","0","false","0","TCF4-AS2","0"
"1.0","0.0","1.0","0.0","1","1","0","false","AC079799.2","2.0","1","0","false","0","AC079799.2","0"
"1.0","0.0","1.0","0.0","1","1","0","false","FAM95B1","2.0","1","0","false","0","FAM95B1","0"
"1.0","0.0","1.0","0.0","1","2","0","false","AC011284.3","2.0","2","0","false","0","AC011284.3","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP5-1077H22.2","2.0","1","0","false","0","RP5-1077H22.2","0"
"1.0","0.0","1.0","0.0","1","1","0","false","LINC01106","2.0","1","0","false","0","LINC01106","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP5-894D12.5","2.0","1","0","false","0","RP5-894D12.5","0"
"1.0","0.0","1.0","0.0","1","1","0","false","RP3-388N13.3","2.0","1","0","false","0","RP3-388N13.3","0"
