id	GSM5176138_con	GSM5176139_con	GSM5176140_con	GSM5176141_con	GSM5176142_con	GSM1332201_con	GSM1332202_con	GSM1332203_con	GSM1332204_con	GSM1332205_con	GSM1332206_con	GSM1332207_con	GSM1332208_con	GSM1332209_con	GSM1332210_con	GSM1337304_con	GSM1337305_con	GSM1337306_con	GSM1337307_con	GSM1337308_con	GSM1337309_con	GSM1337310_con	GSM1337311_con	GSM1337312_con	GSM1337313_con	GSM5176143_treat	GSM5176144_treat	GSM5176145_treat	GSM5176146_treat	GSM5176147_treat	GSM5176148_treat	GSM1332211_treat	GSM1332212_treat	GSM1332213_treat	GSM1332214_treat	GSM1332215_treat	GSM1332216_treat	GSM1332217_treat	GSM1332218_treat	GSM1332219_treat	GSM1332220_treat	GSM1337327_treat	GSM1337328_treat	GSM1337329_treat	GSM1337330_treat	GSM1337331_treat	GSM1337332_treat	GSM1337333_treat	GSM1337334_treat	GSM1337335_treat	GSM1337336_treat	GSM1339633_treat	GSM1339632_treat	GSM1339631_treat	GSM1339630_treat	GSM1339629_treat	GSM1339628_treat
COL11A1	5.4306055	6.2880072	6.3069515	6.8835569	6.2902179	6.9627382	3.5873559	7.448981	7.22225	7.199698	8.7607941	6.306508	7.987769	7.2441289	7.6258544	7.6770489	5.9060346	6.3877278	6.7727517	3.2737423	7.7145625	8.2211218	7.5628207	7.5804306	6.4423566	8.0604845	8.4934842	9.4291182	8.5158349	8.7704342	8.2463546	10.9409204	7.948025	5.95337	8.868187	7.703888	6.1399513	7.095307	7.364242	6.6688361	7.8213429	7.4168736	7.5458516	7.1620819	7.7590677	6.9841614	7.7659895	6.9508173	8.6998181	11.4437206	7.768468	5.911887	6.9883318	11.9095604	6.5947962	7.6912161	7.9462539
ACADL	6.4556171	6.0164661	6.4550492	6.2660248	6.1258364	5.4739707	5.480651	6.629664	6.4919728	6.154242	8.3919573	5.244385	6.459655	6.7442039	6.7528151	4.0416677	3.1684008	7.6205445	5.2144715	6.1078241	6.9936582	4.6681097	4.7933968	4.401442	4.769411	4.2649151	2.9811379	2.8612325	4.6803722	4.4454178	4.9422315	3.8423079	4.4734113	5.1755185	4.435046	4.746554	5.0147448	3.756709	3.311734	3.5669804	5.2270597	5.6091915	3.8463386	4.1991402	6.3088492	7.668711	4.3643811	6.0514918	5.4284549	3.0962811	5.4471264	6.032893	6.0601827	6.0587836	5.9691004	6.8084417	4.6119452
GPR1	7.2595638	6.753974	7.798813	7.9625691	8.0077051	6.5824256	6.3558176	6.733655	6.6766597	8.310247	8.1621071	4.246007	6.607384	5.0303582	7.7669269	6.3135984	9.1718175	6.7000417	6.2079403	5.861448	6.3383385	7.4528772	8.3186847	8.8619735	5.8836458	3.8128296	8.3072622	7.166561	5.6965499	7.9737752	8.6746915	7.3646241	9.0023908	9.1991991	7.970398	8.532239	8.2920753	7.981699	8.302076	9.6869159	10.1624743	8.5261673	9.3515365	8.8903456	7.8146324	8.4561629	6.2085109	9.4829196	9.3382804	6.8439152	7.7171426	8.157471	6.783748	7.5433042	9.9046317	8.5869617	7.6164978
MAOA	9.7786267	9.0747786	9.375074	9.6418494	9.1035555	9.7127268	10.3900642	11.260616	9.9651473	8.610371	10.2372941	8.901668	8.674978	10.519872	9.4912377	7.2275493	8.0223267	11.2814657	6.8789576	9.7556503	11.379387	7.4751561	7.6574228	6.9921225	8.7388005	6.6448956	7.8343209	6.8285421	8.1587744	5.8796316	5.3251314	6.4880504	7.9713117	8.2329879	8.202054	8.582579	8.8713202	7.881052	7.549191	8.0493363	8.1719188	8.5748042	8.0391918	8.3782986	8.1079626	10.5294535	8.0885113	8.5523381	8.1874689	7.7316183	8.5560305	9.741323	9.206293	10.0235729	9.2191002	9.6264941	7.7136413
CDON	4.1898726	6.6556158	5.6611171	5.7766024	3.89148	6.0607858	6.9880692	6.997865	4.5878688	7.762546	4.6408894	4.233517	6.038015	5.2458822	4.1227063	3.8343546	7.2356489	5.7898631	5.7182925	3.5382659	6.4606846	8.0382026	7.4231357	7.8003733	7.7708804	6.3536577	7.3083255	7.6259003	6.3958408	6.5936624	6.5009271	3.7712354	8.5911611	7.0411111	7.575693	7.939987	8.4474629	6.32184	6.930901	8.1309373	7.2394013	7.3034848	7.2902772	6.6840223	5.2686761	4.5765434	6.8543214	6.4584164	6.4696637	7.3434253	7.0032647	7.013365	6.8497415	6.6409401	7.3104531	7.5355171	7.4141851
MMP9	7.9693932	8.4605394	8.5098035	9.1800262	8.114035	7.687023	8.4175738	7.816516	8.174247	8.634487	7.3986663	8.072843	8.967663	7.74127	8.6118457	12.7403228	7.5400634	7.2591269	10.0040454	8.0799934	7.2054691	11.5645601	8.1978066	8.0145673	8.4668885	11.0079142	10.9984094	9.8093422	9.7650776	10.0853588	8.5274127	11.9593324	11.9906558	8.6831331	10.925871	10.19738	8.7878066	11.526435	10.400196	9.657019	8.9393563	9.2477915	8.7037476	7.966451	10.6462915	8.4593307	9.0639859	8.2525832	8.6227839	9.996748	11.0673958	7.633	6.9147042	9.5858778	11.1418847	8.7678312	8.2702571
ERAP2	4.7079084	4.648781	8.3200403	7.7541194	6.0994122	8.1590929	6.6110273	6.176451	8.0307482	6.693567	3.1535525	7.185309	3.378303	7.0451338	7.6100845	6.9622984	4.9000284	6.8832844	7.0800448	4.8665887	3.985427	5.2066031	7.3584872	7.7190966	7.5127816	8.5919034	8.8836193	8.0742472	6.4974611	7.63292	9.3132939	7.9899358	7.9649071	7.9454874	8.35138	6.274369	6.4205395	8.142744	8.930668	9.0503441	7.8944437	7.744041	8.409474	9.0933104	4.7004434	7.8143293	8.1412153	7.7378319	9.0924834	8.5982727	7.70045	8.172901	3.952253	7.8703535	3.8778837	7.6533687	4.574399
STMN2	6.2085811	3.7841251	5.0850387	6.9687099	4.1062815	5.626629	5.3215492	6.313972	4.7044939	3.781823	5.6493093	3.935843	4.00183	4.6016872	4.9419594	5.1132931	5.5510994	6.3502988	4.629366	3.4464404	5.5596335	5.1123956	4.4506658	3.4329069	4.9646154	4.9653333	3.9905403	4.3788475	3.8388132	6.3355567	5.6057141	5.6460624	8.1003029	4.6062358	5.462574	8.070427	4.6199446	5.540313	7.302272	6.2573169	5.164062	5.528073	5.1549197	8.5079168	8.4218217	5.3036666	6.2338041	7.761173	8.4472547	3.8240671	6.6813907	6.200927	7.2742529	4.6103001	4.7669878	5.9908931	7.6890365
ARC	3.4421847	4.6591785	3.9529114	3.769641	4.481258	4.2452802	6.5621325	5.717214	7.5889313	6.880791	6.3348864	3.820875	9.154253	6.042892	3.2713999	3.7737529	3.7646199	3.7820655	9.5930119	6.7212965	5.6953315	3.9303936	6.3149638	4.570165	4.1292311	7.9830363	3.5693394	3.7752688	4.8408443	4.0770321	3.886079	3.0300026	2.9335071	3.4489018	3.546158	3.831556	4.4909764	4.000887	3.308953	3.3525754	3.9521728	3.8977813	3.3548434	3.4605417	4.9996967	3.2644776	6.2185523	3.2950598	3.7623382	4.1061191	5.2078155	3.666125	5.2225833	3.5867682	4.9223306	5.1526704	3.845006
SELE	7.0632159	6.044742	5.904203	4.8791844	6.4314615	7.6354625	7.1564481	5.319146	7.0830611	9.312664	9.1517254	10.860208	6.971294	6.9015844	5.0010787	8.7038814	7.6209129	5.6524343	8.7651505	7.3592063	4.5942339	5.6041325	8.2849461	7.5645604	8.3248517	7.2129624	9.4801188	7.5089537	8.0877019	6.5653094	4.6317749	6.4809509	4.8126908	5.528195	7.68206	4.765131	6.3144858	6.126035	6.257227	5.9545812	4.0009217	5.8770312	5.3029644	4.9718724	4.8669599	5.0354523	7.4995337	4.9835322	7.0306152	6.6193872	4.6035335	6.242036	6.3673466	4.0235883	5.2255084	6.5615147	4.8883902
IGLL3P	8.1046923	8.8506244	9.1357564	8.9918446	9.0993125	6.9580127	7.6056541	6.796702	7.2552312	7.24998	7.5003801	7.315939	7.363259	7.4337903	7.7801045	9.6020506	7.3457727	7.8552871	6.5588956	8.2002365	5.7800148	7.9729363	8.652033	8.6045441	8.4209126	11.4316562	10.6846175	8.7870152	9.2213138	9.1080338	8.4453924	7.9804063	8.1307309	9.2169528	8.302117	10.303252	7.7877155	10.288016	9.845745	9.153896	12.0813448	9.1557378	8.1278835	9.7912334	11.5495368	8.2654495	7.0467863	8.7182338	8.2302982	8.1017785	7.9111337	6.291503	7.165075	7.9450778	6.535639	7.1058379	11.3480537
DUOX2	3.9938327	6.2039539	4.1192504	4.3973584	4.5409916	4.5707075	5.7219841	6.921731	7.4605226	8.140129	7.7567234	7.023566	4.122048	6.53473	7.4611059	4.4953999	6.6662729	6.6236258	5.0866897	4.0528897	7.9344387	3.409064	5.8058252	4.7510396	6.0982957	5.6319728	7.1501357	6.292941	3.2435589	5.2754198	3.6413656	4.9911507	3.6031388	4.6160632	4.160476	4.269679	3.9254494	4.290815	4.325479	4.0139031	3.9836669	5.9252165	5.0476536	2.5865295	3.1049248	5.2012046	5.8435872	5.7215143	4.9962095	5.0464822	3.8203197	4.338166	6.3829002	6.3716505	4.4836683	5.5231548	4.1372046
PMAIP1	5.750434	6.4824349	4.8925587	3.9695939	4.5820709	7.214381	7.3945771	7.664201	8.0120913	7.770942	8.4975756	7.909763	7.634579	6.43051	7.0779573	5.8851128	4.7817923	3.3828093	8.2615645	7.7497343	5.7627641	5.9312712	7.4836074	7.5955412	7.401514	8.6279742	6.8317852	5.6700287	6.2654954	5.586417	7.0613641	5.2753251	6.0148581	5.920111	5.809329	5.707604	5.729997	5.62327	4.429953	3.5769406	2.9192761	6.0614031	5.1056186	5.2490984	5.8421774	4.6729515	7.9420935	5.3191332	7.0221707	5.9775346	4.9040239	3.9019	7.13681	4.7478313	4.6051017	5.3318307	4.9822806
IGJ	5.6357541	6.6035627	5.405765	11.8526475	6.9588439	3.0730283	4.200192	5.204319	3.5414801	3.743454	6.4962642	4.142304	4.046465	4.3136333	7.046257	8.6550766	4.7549721	7.2562687	3.8896189	8.5247364	1.9129646	4.0198231	7.1135951	5.3498106	6.0807634	6.0550017	5.9076104	6.4952368	10.4119484	6.0001713	10.1755856	7.9225551	6.8783955	7.3443552	6.652197	9.448859	6.1928196	8.793803	8.023549	8.6426439	9.0198274	7.2249734	6.135443	8.7711438	10.6459996	7.9027864	2.9349229	9.5629548	7.3404574	7.1100384	5.0971655	3.233679	3.7165383	7.8825905	2.6674276	5.9009493	9.9020371
LIF	7.6753157	7.0463352	7.0444612	3.7679473	7.2656744	7.1268961	6.1418958	6.486904	9.3005634	9.266015	7.9028576	11.384009	11.883791	5.7645843	7.4989248	9.3651833	6.8826018	4.3863482	9.5454135	7.8917642	4.2112041	6.2580307	8.2523544	8.0281761	10.0966309	10.3371524	7.4496797	5.1253904	6.9177501	5.7495427	5.2292596	6.5732709	4.85237	5.223422	5.262663	6.748692	7.2931496	5.788054	6.176897	7.290203	6.932534	7.2872528	5.6542667	6.5952252	7.4802596	5.9737526	6.8420511	3.6216773	6.5315637	7.1886914	6.6246774	7.122803	6.3230199	6.4996297	6.4601751	6.5430394	7.1307929
FOSL1	5.2297318	6.8312094	6.4524854	4.226099	6.4687437	5.2687922	7.3505603	4.461766	7.8654598	9.031366	7.747399	9.919301	10.94051	7.5337463	4.8040306	8.0476775	5.2765657	3.4544253	11.0965744	8.8988921	6.9023674	5.6263359	6.792914	4.6893631	8.0670616	8.2839031	6.188127	5.3519148	6.0588652	6.3218669	6.1143581	5.3821303	4.6591758	4.5638493	7.334491	6.854512	6.5403789	5.324715	6.434524	4.6276291	4.6185348	5.635265	5.2462054	5.0401598	5.1475606	3.8809263	6.7911954	4.9604547	4.2829805	6.5533366	5.6387737	3.375979	8.163184	7.1205162	7.5716217	3.707565	6.3104306
PTX3	5.9666968	6.2308552	6.913275	7.9103766	7.6935252	9.982913	6.1020038	6.570185	8.0969802	8.667463	7.8745362	11.614162	8.822506	9.9028862	6.9792138	6.7098489	7.0700048	12.0336085	8.2487385	9.1754765	7.6769596	3.7759653	4.9145899	4.7161049	5.5129594	9.3846249	6.0420143	5.1576716	7.897708	6.2113592	6.2981298	6.7149131	6.8015823	6.7306857	6.169421	6.495342	4.4553774	6.301417	5.467161	6.8667577	8.3511576	5.1734581	6.7336138	6.8439312	6.2715596	5.5802181	6.9858308	6.5235751	7.4909213	8.6295848	6.240712	5.141104	5.4618523	7.8907507	6.3740606	5.052582	5.8788947
