id	logFC	AveExpr	t	P.Value	adj.P.Val	B
GADD45B	-2.287219696375	9.69455224912281	-11.8106202535777	4.26084837823335e-17	5.3465125450072e-13	28.3614236083084
SIK1	-2.282868277375	8.53859070701754	-10.5176234103642	4.3789534925987e-15	2.20837162670916e-11	23.9381389046866
KDELR3	1.001648884	9.53485181403509	10.4665425656228	5.27981740526576e-15	2.20837162670916e-11	23.7589053771482
FOSL2	-1.655073999625	7.76276353333333	-10.3676620792867	7.59031775817889e-15	2.38108268074072e-11	23.4110313120944
PNRC1	-1.15417632675	10.4506429684211	-10.2455453951549	1.1901392915797e-14	2.95345681917161e-11	22.9797560978325
NFIL3	-2.07630048675001	9.90588908947369	-10.1992066933876	1.41223628586465e-14	2.95345681917161e-11	22.8156315173568
B3GALNT1	1.038777153	6.42064131052631	10.1383081584329	1.76896502889482e-14	3.16455101390136e-11	22.5995483277308
CEBPD	-1.37393306575	10.9092100280702	-10.071029308467	2.26976084835131e-14	3.16455101390136e-11	22.3603163580659
APOLD1	-2.1658269245	8.32015727719298	-9.97879083788263	3.19700548673419e-14	4.01160248475406e-11	22.0314737088431
RHOB	-1.211791241	11.9026981614035	-9.91033350242404	4.1247921986006e-14	4.70526295527639e-11	21.7867811985953
KLF9	-1.481436200125	8.50243849122807	-9.83151943693336	5.53428598628992e-14	5.78701837966383e-11	21.5044126164801
ZFAND5	-1.052386759	10.5805769649123	-9.63834635966829	1.14051672149292e-13	1.10086183240717e-10	20.8094249079886
BCL6	-1.099712502	10.2053584947368	-9.56330079171795	1.51192573708682e-13	1.26722113796574e-10	20.5383474773192
MAFF	-2.193154955125	8.40173316491228	-9.5627871870006	1.51484834790295e-13	1.26722113796574e-10	20.5364902084462
NFKBIA	-1.17350430437501	11.7220117859649	-9.48189233923877	2.05400959922372e-13	1.6108570281912e-10	20.2436212253134
VEGFA	-1.730716769375	8.40518479298246	-9.28731924526429	4.28280556826338e-13	2.98559134836494e-10	19.5364876165855
MYC	-1.62346663012501	9.63707088947369	-9.10735199215335	8.4758406295596e-13	5.59762359051125e-10	18.8791885924046
CDKN1A	-1.520106524625	9.67234514736842	-9.01361784617164	1.21073969135968e-12	7.59618082359062e-10	18.5356712296288
TIPARP	-1.22992521675	9.74058251578947	-8.98233863068175	1.36394926865708e-12	8.14992163005194e-10	18.420867693492
SCRG1	2.111461225125	10.3578253684211	8.52695871259513	7.79258199892067e-12	4.07422162176903e-09	16.7406097497859
KAL1	1.676522098625	9.04481808070176	8.49690974641687	8.74654333924186e-12	4.39006503283227e-09	16.6292022327468
GABARAPL1	-1.043985088875	8.8015636	-8.34357673164571	1.57804831698135e-11	7.33383343758593e-09	16.0598207224404
CBLB	-1.119234719125	8.17347051754386	-8.31448570627797	1.76525259629733e-11	7.91085342083534e-09	15.9516353082362
SLC2A3	-2.104163432375	7.82581091403509	-8.28935719010203	1.94480969649336e-11	8.4149903695168e-09	15.8581471924706
CX3CR1	2.00933634825	8.05682518421052	8.18281476312042	2.93360080578563e-11	1.18744590035478e-08	15.4613872930969
DDIT4	-1.94591440425	10.5404278736842	-8.16941229134786	3.08940460585144e-11	1.20136521264732e-08	15.4114355253319
NAP1L3	1.0723507015	8.14304068245614	8.16360457342585	3.15947178971643e-11	1.20136521264732e-08	15.3897870775624
ADM	-1.750126338375	10.1987802368421	-8.10431037519324	3.9727298383785e-11	1.4242804003421e-08	15.1686734868729
WNT5B	2.146545005	6.30375301754386	8.07537911098555	4.44271822192131e-11	1.54853411801857e-08	15.060727021678
ZFP36	-1.555734006375	11.2943460421053	-8.06252080816674	4.66912539096563e-11	1.56303089541648e-08	15.0127390104695
PLIN2	-1.372445404875	8.98914034210526	-8.05898224326493	4.73343752198168e-11	1.56303089541648e-08	14.999531594041
MTHFD2	-1.28434059175	9.46209813333333	-8.03627394721978	5.16782792693304e-11	1.66271550838861e-08	14.9147618778575
TPPP3	1.99827862425	9.2062308631579	7.91648870249222	8.21457081704348e-11	2.45420082410147e-08	14.4672630461057
NAMPT	-1.567010952125	9.78380457719298	-7.89891557528568	8.79287560113354e-11	2.56588379169822e-08	14.4015679085586
PTN	1.290577905375	8.42706976842106	7.7869146525121	1.3568517657877e-10	3.6225055227881e-08	13.9826322846543
PIM1	-1.188466104625	8.62080902280702	-7.62428345296105	2.54877299021831e-10	6.39640069625187e-08	13.3737337698478
MKNK2	-1.001281020625	10.3823604017544	-7.61859596486111	2.60561447490638e-10	6.41083341786769e-08	13.3524299378156
CCNL1	-1.2930044755	9.90777643859649	-7.54670812757958	3.44351213406059e-10	8.30945966503698e-08	13.083115748801
BTG2	-1.11811875325	9.51919288070175	-7.41298041254385	5.78512971649019e-10	1.31985104877307e-07	12.5819929715606
SLC19A2	-1.558110099	7.78902024736842	-7.40825362175172	5.89220286953688e-10	1.3202743144098e-07	12.5642784365235
PART1	1.3708435155	6.00038213157895	7.38779227788352	6.37903445540069e-10	1.38007110942014e-07	12.4875953841943
ATF3	-1.995988848875	9.04483530877193	-7.28726134762005	9.42202908695178e-10	1.97046034971785e-07	12.1108462088306
SLC5A3	1.22025002225	8.99070952807017	7.22402990510399	1.204128569302e-09	2.43700085283896e-07	11.8739134816808
OGN	2.009533702375	9.03860920350877	7.21253851463579	1.25901522107332e-09	2.46845671781687e-07	11.8308590747561
NFKB2	-1.013734323375	6.41034615789473	-7.20161406109476	1.3135100906843e-09	2.53568071044717e-07	11.789930389194
AASS	-1.189511847	5.96550504736842	-7.03742388906815	2.48262717242697e-09	4.04571503371606e-07	11.1750471044797
PPP1R15A	-1.236707759125	9.11993828070175	-7.01910149805184	2.66531740829084e-09	4.18055035490419e-07	11.1064695222841
SLCO4A1	-1.806903307625	7.35093453508772	-7.0079951342845	2.78252839837395e-09	4.31051436330819e-07	11.0649049569146
KLF4	-1.0301497615	11.1001280333333	-7.00113402381556	2.85749383418554e-09	4.34337864416612e-07	11.0392296889511
FKBP5	-2.9962362615	6.57152157368421	-6.95709639575582	3.38904022401862e-09	4.99327841462753e-07	10.8744695540973
FUCA1	1.005935794625	10.8871223807018	6.93197930597452	3.73528379006814e-09	5.38739551698563e-07	10.780526782582
NPAS2	-1.08885516425	6.01385929824561	-6.91447118420815	3.99730135118023e-09	5.69978833575108e-07	10.7150564190485
RTN1	1.14761828825	7.24188440175438	6.88335167987534	4.50908998195957e-09	6.35731023523918e-07	10.5987160463823
STC1	-1.20438904175	6.92876931403509	-6.870226470211	4.74408051648983e-09	6.61107238328061e-07	10.5496589716576
LTC4S	1.851236190875	6.66266014912281	6.83116345494578	5.51821821103772e-09	7.36623426724482e-07	10.4036992795308
EPYC	2.010967360375	6.15262145614035	6.76227203672512	7.20287014449585e-09	9.12945601748828e-07	10.1464558491563
DPT	1.374681403	10.7581062350877	6.67144357481247	1.02307404132939e-08	1.21108802552841e-06	9.80767523622154
PFKFB3	-1.27945179525	9.2064427368421	-6.66891214028516	1.03312268594036e-08	1.21155359468969e-06	9.7982399800244
TNFAIP3	-1.17499486150001	8.93729898596491	-6.63826540757987	1.16286567327623e-08	1.35107763595094e-06	9.68404327568106
FAP	1.56267023737499	9.64185642631579	6.58177317309792	1.44601763609143e-08	1.66464488969498e-06	9.47369712507952
THBS4	1.02480634725	12.3870499631579	6.57054476107931	1.50999313339868e-08	1.70504761129609e-06	9.43191408722231
DUSP1	-1.070788533125	11.7347463403509	-6.56851100267468	1.52187864572173e-08	1.70504761129609e-06	9.42434702103375
MXRA5	1.845546814375	10.522266477193	6.55324044075417	1.61414787592427e-08	1.77894932661788e-06	9.3675386374313
RPGR	-1.034454591125	6.64399845087719	-6.55291148998007	1.61619559479151e-08	1.77894932661788e-06	9.36631508100193
LRRC17	1.49614092412499	8.65346646842105	6.54346320624312	1.67612807731252e-08	1.81310819949288e-06	9.33117480019756
NID2	1.374971655875	9.74287822807018	6.54108644710031	1.69154947258898e-08	1.81415066513218e-06	9.322336111071
IRS2	-1.032870653375	9.29775743508772	-6.53130743950216	1.75649997060856e-08	1.86784420603357e-06	9.28597426235914
ARNTL	-1.2503810615	6.76458900877193	-6.4898594041329	2.06050080372949e-08	2.13679042026427e-06	9.13193456946936
JUN	-1.430964850125	9.63264398421053	-6.42684005245619	2.62587950483976e-08	2.61504254180391e-06	8.89798341043221
ANKH	1.420852615375	8.5818387877193	6.3994068349274	2.91792123866002e-08	2.78359592838435e-06	8.79624368660007
TNFSF11	1.3582576665	6.16003011578947	6.39848888080388	2.92823288609128e-08	2.78359592838435e-06	8.79284044814241
CRIP1	1.23240594749999	10.8814124631579	6.35745285492238	3.42818206714125e-08	3.16300210135944e-06	8.64077870054373
RND1	-1.484379441875	5.99482139298246	-6.13220977526879	8.12201548548679e-08	6.13946086216194e-06	7.8090537110577
LRRC15	1.784292341625	8.95076700526316	6.07798714043456	9.98878569522059e-08	7.28716761067605e-06	7.60966125272634
SOCS3	-1.15849572725	7.60975462982456	-6.05138143256111	1.10547230291672e-07	7.88151503238579e-06	7.51195414017208
PIGA	-1.091890763125	6.78252105438597	-6.03070385970194	1.19604417462667e-07	8.32007828065842e-06	7.43607851480582
NELL1	2.025215384	5.45003433859649	6.02980615641725	1.20013880203951e-07	8.32007828065842e-06	7.43278564936694
C1QTNF3	1.22384715174999	8.48674497719298	6.0224228797285	1.23434736931631e-07	8.41771238596795e-06	7.40570695384217
SLC18A2	1.462348978	5.99631601929824	5.93977966369825	1.68992926369756e-07	1.10443918754567e-05	7.10309509626388
CDH11	1.036929437	9.6049212122807	5.92098404985372	1.81487202168636e-07	1.17994891855546e-05	7.03440099879808
PNMAL1	1.020497144875	7.27168592982456	5.78332125507575	3.05571178144334e-07	1.76696181721434e-05	6.53283450164912
ACKR1	-1.196813540375	9.60918533508772	-5.74949532508559	3.47163491737073e-07	1.93609221969635e-05	6.4100351652377
GOLM1	1.07404000775	9.76282296491228	5.74061483441565	3.58981554256661e-07	1.97565813281253e-05	6.37782646054245
MGAT4C	1.32100116	5.15101782631579	5.7138001896483	3.97135718914218e-07	2.13315199786013e-05	6.28065044299958
APOD	-1.990025084875	10.837453822807	-5.67023158438838	4.67856722627674e-07	2.42589510559176e-05	6.12301387188071
TREM2	1.8378810995	8.24395988596491	5.66233221532198	4.81951847095541e-07	2.4720105537555e-05	6.09446755857072
HPGDS	1.011079475875	8.67586456140351	5.65607753462534	4.93409466567652e-07	2.5167894254028e-05	6.07187237014458
DDX3Y	-2.5314152885	6.37165215087719	-5.64567516082847	5.13064378746737e-07	2.59782263614671e-05	6.03430858128692
HAS1	-1.451360130875	9.25434651403509	-5.5998418434346	6.09295247428608e-07	2.98649873622429e-05	5.86902814912705
HOXD11	-1.139530838375	5.45725809298246	-5.52865681469206	7.95203566420142e-07	3.62801076901577e-05	5.61308424481715
GADD45A	-1.108439421	9.78491661578947	-5.51995460539789	8.21467831126391e-07	3.70783393704099e-05	5.58186086409666
NREP	1.1062899455	9.16758364912281	5.51010415594201	8.52232254648571e-07	3.8056264524307e-05	5.54653511957098
C10orf10	-1.106157866375	10.0723553245614	-5.49653127243668	8.96493707087877e-07	3.96098698469672e-05	5.49789063666923
TSPAN2	1.03816716	4.55436432631579	5.48738486653142	9.27592544328932e-07	4.05379161106037e-05	5.465130615727
TLR7	1.39680295075	7.44686944561404	5.48471142408476	9.36882026783158e-07	4.05379161106037e-05	5.45555813853256
AREG	-1.15604964475	4.51376204912281	-5.48220997898395	9.45656999399434e-07	4.07769897885364e-05	5.44660278205632
XIST	2.10068317775	8.72836892280702	5.47541968301472	9.69888198521458e-07	4.15363724063046e-05	5.42229923435784
SLC7A5	-1.689655155875	7.11916825087719	-5.4215656071764	1.1850570959017e-06	4.79680530302403e-05	5.22987303298217
MT1M	-1.198872929	10.3943986350877	-5.34723386487462	1.56119497546091e-06	5.97252272929374e-05	4.96525897509169
NR4A1	-1.184643305625	7.47466893157895	-5.31348383301853	1.76872691862347e-06	6.60535279014503e-05	4.84550131970733
TNFRSF11B	1.030279918	7.18940119298246	5.29970407873988	1.86107197108768e-06	6.88871123693457e-05	4.79667740910602
TTLL1	1.124114387375	6.55514743333333	5.28932084607094	1.9337780274306e-06	7.05379264191835e-05	4.75991576809474
CRABP2	1.076936491125	7.59097443684211	5.25075349646354	2.22916912803393e-06	7.90158593744907e-05	4.62358111652526
GCH1	-1.100113762625	8.17687644561403	-5.21934863101075	2.5021588857238e-06	8.51456285958206e-05	4.5128170633351
CAPG	1.0259842965	9.8126471	5.20678849120217	2.620326289358e-06	8.86249441478818e-05	4.46858208704015
THY1	1.124454330125	9.23620305438596	5.18096797637819	2.88076238506989e-06	9.58827756176576e-05	4.37776303963534
SLC16A7	-1.0376894835	7.06784337894737	-5.15114037007581	3.21341974914169e-06	0.000103922657248015	4.27304855282403
RPS4Y1	-2.770080873875	8.51517252982456	-5.13917998145346	3.35717682549329e-06	0.000107190470245012	4.23112042311182
IFIT1	1.159455041375	8.40942839649123	5.12065456589463	3.59241375618586e-06	0.000113545611618691	4.16624746910283
COL8A1	1.01702701725	5.1394255	5.04630497594075	4.71071295324692e-06	0.000142777840911455	3.90675427711821
TAC1	2.083804681375	6.3858986877193	5.02077389230704	5.1686225332139e-06	0.00015284799919073	3.81797398934968
RUFY2	-1.314873853125	6.94361010526316	-5.00064027012536	5.56029837771324e-06	0.000161880798244886	3.74808345977498
JUNB	-1.051463344	10.8036944333333	-4.99556605148354	5.66352115630517e-06	0.000163746229191975	3.73048614318644
SPON1	1.01317804075	8.33605053508772	4.96737439386395	6.27219479612776e-06	0.00017766027156165	3.63284374806603
CCL25	-1.134931336875	5.01219400526316	-4.94840497432303	6.71741627076674e-06	0.000187728595469	3.56726403577259
WIF1	1.962589205	5.72569508596491	4.94214819591438	6.87095543049378e-06	0.000191167957298971	3.54565516436302
DUSP5	-1.00614657075	8.0114917368421	-4.92125322439951	7.40907069591229e-06	0.000202546882554047	3.47356911443356
PCDH12	1.031709489125	7.28466859122807	4.86738858795257	8.99410578483212e-06	0.000237096721403516	3.28830498005136
DUSP2	-1.60020315225	5.21056923157895	-4.8433012669244	9.80624145097107e-06	0.000253708696343887	3.20572629543616
SIX1	1.0156434795	6.90536222105263	4.81161050891796	1.09849263347116e-05	0.000279591999285926	3.09733830269143
LIPC	1.301077699375	5.12433834561404	4.8085805509883	1.11046304620732e-05	0.000281496773814332	3.08699080622373
LRCH1	-1.245404919625	4.3695394122807	-4.79300357611331	1.17404728423517e-05	0.000293465046266591	3.03383753840072
NR4A3	-1.07329920825	6.22323371052632	-4.78894592476458	1.19118701513354e-05	0.000296431074968736	3.02000351575838
USP9Y	-1.918431787125	4.53373844736842	-4.75551098381362	1.34205718958234e-05	0.00032260792365669	2.90620039240117
RP11-769O8.3	-1.108731279875	5.03266977719298	-4.70526410864943	1.60454113439332e-05	0.00036342567065645	2.73581761408333
NPTX2	1.194635899375	8.18479644561403	4.68899880325448	1.69979989092573e-05	0.00037952115714121	2.68083186066129
FNDC4	-1.088109518625	7.73245022631579	-4.66415008061806	1.85608896905234e-05	0.00040359729454071	2.59699104682885
CSN1S1	2.266586915125	9.04730243508772	4.61789682038314	2.18523553997933e-05	0.000462687795115818	2.44145852532774
CXCL3	-2.249060956875	5.53773404736842	-4.61100624108193	2.2389122848816e-05	0.000470280411403608	2.41834767714959
LOXL1	1.22889353925	9.1307078368421	4.59857792569168	2.33899928863532e-05	0.000486729072533929	2.37670290663107
MEST	1.342246162375	9.33381677719298	4.54715842674607	2.80152701292032e-05	0.000556393591499748	2.20495341898515
CLDN5	-1.278616106	7.7757278877193	-4.54533166921867	2.81950202029598e-05	0.00055803014748697	2.19886813232625
INHBB	-1.035608843125	7.31080310175438	-4.53982730874816	2.87434655260451e-05	0.000566205660001278	2.18053889312196
EIF1AY	-1.87462128525	4.8696939368421	-4.53366558480946	2.93697493758838e-05	0.000574932316955679	2.16003291852657
ZBTB16	-1.3220804025	9.3592655631579	-4.51204587810499	3.16741716037613e-05	0.000611457700436918	2.08818631719998
PTGDS	1.188174643	10.908393545614	4.49715854111228	3.33624548651247e-05	0.00063047000549335	2.03880651957602
LOC100506282	-1.125926514	4.27821246842105	-4.49394931105137	3.37377163529701e-05	0.000634849773451558	2.02817191462447
SBNO2	-1.26741203925	6.75989774210526	-4.47265971014955	3.63333229974172e-05	0.000669324894542276	1.95771455625378
ZBED8	1.06336291375	6.19842005087719	4.44830346161663	3.95416146839863e-05	0.000718043677358409	1.87730411653981
KDM5D	-2.020668544875	6.53150453684211	-4.43522379853984	4.13766317440269e-05	0.000742766774140271	1.83420963292413
FOXC2	-1.062193123	5.39105310175439	-4.43208366916567	4.18293634008731e-05	0.00074768497429367	1.82387274780786
NR4A2	-1.397130903	7.7922162368421	-4.4253826114285	4.28116712691313e-05	0.000761987022815687	1.80182561478571
COL5A1	1.11723348775	9.85463375614035	4.38833935556156	4.86602360656268e-05	0.000848039780765952	1.68024308262404
FOSB	-2.566714342375	8.86926437017544	-4.370894736967	5.16767525161457e-05	0.000890714135401918	1.62316052741814
ST8SIA1	1.015979885625	4.63725895263158	4.36877456734091	5.2055531783926e-05	0.000896012088922775	1.61623052648994
NLGN4Y	-1.589463226	4.70267094385965	-4.34278549275275	5.69235697770815e-05	0.000954915713319276	1.53141817828476
CXCL2	-1.82320233075	8.06463412631579	-4.31909420934517	6.17445045723936e-05	0.00101409691541151	1.45432484260516
SCG2	1.22325465925	7.70352442982456	4.29308621821824	6.7493359083547e-05	0.00107886199972019	1.36993769435921
LGI2	1.250970091125	5.90882091052631	4.25384572771951	7.71617771297668e-05	0.00121483811721997	1.24310741868775
IGLC1	2.21756342	9.07567516491228	4.24986310957478	7.82149974403941e-05	0.00122374287765843	1.23026850845959
CCZ1B	-1.009140452125	5.87150343333333	-4.22586432852752	8.48628771909613e-05	0.00130337745776277	1.15303447454101
MCM3AP-AS1	-1.02999809675	4.74192308245614	-4.22235805975957	8.58788802873917e-05	0.00131736942523984	1.14176943612101
RGS13	1.176683773875	5.36688174736842	4.20044636215679	9.25003414499421e-05	0.00139005303534596	1.07148149199604
GDF15	-1.095738936125	6.17453602456141	-4.19452458655768	9.43730788252374e-05	0.00140473712111397	1.05251860416553
COL1A1	1.3743358445	10.3741127333333	4.19244792233804	9.5038470941254e-05	0.00141296532389912	1.04587197544624
RTP4	1.01936112674999	6.59546700526316	4.19023010641464	9.5754106643974e-05	0.00142129369315454	1.03877548382622
PTGS2	-1.56365589	6.7486675368421	-4.18454380382888	9.76128620004694e-05	0.00143904287540449	1.02058967904225
RGS1	-1.54416338725	6.8351745122807	-4.14847382356908	0.000110243311763519	0.00158821248680669	0.905536128170693
CLIC3	1.147846743875	4.83192781754386	4.12667116037325	0.000118629870394845	0.00168199730363222	0.83624910834146
CCL20	-2.2965478985	4.5706605877193	-4.11917899576597	0.000121651744338596	0.00171322793261582	0.812484885890864
HTR2B	1.473873436125	6.47144701052632	4.10934643361639	0.000125730703464401	0.00175882816841839	0.781332526209342
IL6	-1.7852840545	7.80983785964912	-4.10820233066108	0.000126213825379277	0.00176165859939841	0.777710292453339
DUSP4	-1.086475307875	5.64043828596491	-4.06742323085731	0.000144654930398231	0.00193717189609071	0.648961574837972
CYR61	-1.06225771025	10.3784690982456	-4.06399901137807	0.000146316737413557	0.0019510971530981	0.638182458075575
NCF1	1.112337167875	7.72715939298246	4.05051432793333	0.00015304203877288	0.00202357376451222	0.59578242444073
LAMA3	-1.201962995625	5.97994853684211	-4.04524496234877	0.000155750340616045	0.00205074005671577	0.579234974096231
CXADR	1.2864788855	6.8746221122807	4.04214466042616	0.000157365361996847	0.00206766551029993	0.569504610007176
AF007147	-1.070364108125	5.97877601403509	-3.98789326215782	0.000188383952337206	0.0023923227000128	0.39990689235889
MTUS2	1.364485983625	6.31014245087719	3.94863168290466	0.000214425511792619	0.00266397160591463	0.277972690941411
STX11	-1.175826442625	4.30537586140351	-3.93936336905737	0.000221060990292167	0.0027301902619942	0.249288018581707
KIAA0754	-1.373157287875	3.83688039649123	-3.908617426022	0.000244518315006231	0.00294172178015166	0.154407865184625
S100P	-1.33707407325	4.51596161578947	-3.89927571258018	0.000252107759094361	0.0030156798485377	0.125664482839683
ANGPTL4	-1.079687648875	9.14782301754386	-3.89685735107885	0.000254109118184987	0.00301930998869602	0.118229923011262
PDK4	-1.5493930875	8.07364618421053	-3.86902944816546	0.00027826626326037	0.00319458835442921	0.0328732684031436
PHKA1	-1.146556213	5.37190880701754	-3.84904571626554	0.000296959888174837	0.00336912538591126	-0.0282031844157036
EBLN2	-1.077009175	5.21147727017544	-3.83013826698293	0.000315753222476837	0.00354706484837901	-0.085819543937256
