"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EIF1.1",7.16357882834213e-74,0.552541100268671,1,0.999,1.53422367766603e-69,"DC","EIF1"
"DKK3.2",9.5341959330409e-74,-1.64191076597747,0.078,0.591,2.04193874297937e-69,"DC","DKK3"
"GPNMB.2",1.03545104643623e-73,-1.53756939500396,0.267,0.731,2.21762550615248e-69,"DC","GPNMB"
"TXNRD1.1",1.75163171215812e-73,1.40953364366313,0.642,0.323,3.75146963792905e-69,"DC","TXNRD1"
"MAP3K8.2",1.89329524812907e-73,1.12582286347767,0.792,0.526,4.05487043291803e-69,"DC","MAP3K8"
"RPS21.2",2.46427538652233e-73,0.605422731843289,1,0.991,5.27773859531488e-69,"DC","RPS21"
"SSPN.2",2.65034666026515e-73,-1.06932483653352,0.04,0.556,5.67624744228988e-69,"DC","SSPN"
"FAM134B.2",2.72528712878323e-73,-1.04950470046826,0.043,0.563,5.83674744371505e-69,"DC","FAM134B"
"NFIB.2",2.73817519819141e-73,-0.995239840842563,0.027,0.554,5.86434982196654e-69,"DC","NFIB"
"RND3.1",3.02899442661991e-73,-1.11221653623291,0.019,0.538,6.48719736349185e-69,"DC","RND3"
"HSD3B7.2",3.51415675090517e-73,-1.26964878834311,0.081,0.587,7.5262695134136e-69,"DC","HSD3B7"
"LITAF.2",5.10623209162523e-73,1.15766423523588,0.833,0.615,1.09360172706338e-68,"DC","LITAF"
"PIGT.2",5.27651719911884e-73,-0.941917439892008,0.173,0.679,1.13007168853528e-68,"DC","PIGT"
"SH2B3.2",8.78728125421388e-73,0.716429492228758,0.45,0.135,1.88197202621499e-68,"DC","SH2B3"
"ARHGAP30.1",1.663513820927e-72,0.504082332745124,0.272,0.05,3.56274755027935e-68,"DC","ARHGAP30"
"RERG.2",1.95284605530138e-72,-1.07035717083555,0.035,0.552,4.18241039663897e-68,"DC","RERG"
"MAGED2.2",2.58139207033301e-72,-1.01067237994133,0.183,0.682,5.5285673970322e-68,"DC","MAGED2"
"FERMT3.2",5.11689048236169e-72,0.599725859469775,0.372,0.093,1.0958844346074e-67,"DC","FERMT3"
"AP3S1.2",5.44580509838928e-72,-0.938502850449102,0.307,0.766,1.16632807792203e-67,"DC","AP3S1"
"NDUFC2.2",5.61810534633501e-72,-0.863170071839696,0.369,0.818,1.20322962202457e-67,"DC","NDUFC2"
"NAMPT.2",5.92285681621169e-72,1.14848496025794,0.798,0.532,1.26849824432806e-67,"DC","NAMPT"
"COL14A1.2",6.08420491882243e-72,-1.77940784512033,0.065,0.564,1.3030541674642e-67,"DC","COL14A1"
"NDUFC1.2",6.18055194335653e-72,-0.907262674348132,0.27,0.757,1.32368880970867e-67,"DC","NDUFC1"
"HSBP1.1",6.32496276676573e-72,-0.886903350354149,0.369,0.82,1.35461727575822e-67,"DC","HSBP1"
"PLTP.2",9.37481915618647e-72,-1.69431771904099,0.243,0.725,2.00780501868046e-67,"DC","PLTP"
"COL5A2.2",1.17828178098996e-71,-1.2982740438482,0.046,0.555,2.52352609034619e-67,"DC","COL5A2"
"RHOG.2",1.91089266332887e-71,1.0112785438534,0.733,0.42,4.09255881705145e-67,"DC","RHOG"
"CERCAM.2",2.21601895076166e-71,-1.06284577627795,0.049,0.556,4.74604778684625e-67,"DC","CERCAM"
"UAP1.2",2.27924673615189e-71,-1.27398895962621,0.383,0.795,4.8814627348165e-67,"DC","UAP1"
"PROCR.2",4.00961844025327e-71,-1.34673947959921,0.067,0.577,8.58739981349042e-67,"DC","PROCR"
"GK",4.25271793490057e-71,0.697982593749828,0.323,0.076,9.10804600117655e-67,"DC","GK"
"NSMAF.1",6.79838087031562e-71,0.80027817382133,0.372,0.099,1.4560092309955e-66,"DC","NSMAF"
"ARHGAP26",1.19362060727756e-70,0.493095835740988,0.261,0.049,2.55637725460635e-66,"DC","ARHGAP26"
"MRC2.2",1.25407076796334e-70,-0.97738601518832,0.038,0.543,2.68584336374708e-66,"DC","MRC2"
"RPL36A.2",1.582912834818e-70,0.858439779204853,0.989,0.957,3.3901244183297e-66,"DC","RPL36A"
"WISP2.2",4.43497294784279e-70,-2.93382730881026,0.173,0.626,9.4983815623949e-66,"DC","WISP2"
"LILRB4.1",4.51109075548551e-70,0.423397030514371,0.259,0.046,9.66140307102331e-66,"DC","LILRB4"
"COX6C",4.81351858333876e-70,-0.746749403684956,0.803,0.964,1.03091127499366e-65,"DC","COX6C"
"SDCBP.2",5.42159172749428e-70,1.03989708623993,0.943,0.917,1.16114230027745e-65,"DC","SDCBP"
"RIN3",7.14843941813084e-70,0.429250964299281,0.264,0.05,1.53098127018108e-65,"DC","RIN3"
"UGP2.2",7.24363822048161e-70,-1.2633763443785,0.402,0.785,1.55136999768055e-65,"DC","UGP2"
"SLC39A14.2",7.39514512613518e-70,-1.21580346069499,0.105,0.598,1.58381823166437e-65,"DC","SLC39A14"
"HAS1.2",9.52578574721136e-70,-1.73896128946505,0.205,0.669,2.04013753348026e-65,"DC","HAS1"
"F13A1.2",2.32295199081309e-69,0.380912243793367,0.358,0.082,4.97506627872439e-65,"DC","F13A1"
"DST.2",2.52219571997662e-69,-0.989231145862034,0.197,0.695,5.40178657347393e-65,"DC","DST"
"EZR.2",2.94251562365205e-69,1.16764294858983,0.833,0.603,6.30198571117559e-65,"DC","EZR"
"NFIA.2",3.29680265625046e-69,-0.945372646317705,0.065,0.57,7.06076224889161e-65,"DC","NFIA"
"ANXA4.2",4.26142858829072e-69,-1.04256300301613,0.291,0.768,9.12670160754223e-65,"DC","ANXA4"
"TPT1.2",1.0632628077239e-68,0.602159348223365,1,0.999,2.27718995530228e-64,"DC","TPT1"
"H2AFJ.2",1.29859042731166e-68,-0.93230000666462,0.232,0.709,2.78119111817338e-64,"DC","H2AFJ"
"AKR1C1.2",1.84552430294381e-68,-0.959816357233968,0.121,0.636,3.95255939961475e-64,"DC","AKR1C1"
"MCTP1.2",2.92175178313418e-68,0.422722202872809,0.288,0.058,6.25751579393847e-64,"DC","MCTP1"
"CD99.1",2.95821791480731e-68,-0.881666343529673,0.881,0.974,6.33561530814282e-64,"DC","CD99"
"ATP6V0E1.1",2.96266415850137e-68,-0.797249034514048,0.644,0.925,6.34513782826239e-64,"DC","ATP6V0E1"
"IFI27L2.1",3.24534521810793e-68,-0.930767067252992,0.364,0.786,6.95055585362175e-64,"DC","IFI27L2"
"NDUFB7.1",3.4524198716083e-68,-0.858121266830241,0.402,0.81,7.3940476390235e-64,"DC","NDUFB7"
"CST3.1",6.90600898917057e-68,1.02588195506321,1,0.992,1.47905994521066e-63,"DC","CST3"
"PDGFRA.2",7.19260020471458e-68,-1.000941011614,0.051,0.549,1.54043918584372e-63,"DC","PDGFRA"
