"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SPHK12",3.35993224924751e-74,0.85882511809012,0.671,0.301,7.19596689821339e-70,"9","SPHK1"
"RPS241",9.29139524553145e-74,0.557132660881016,1,0.999,1.98993811973547e-69,"9","RPS24"
"CNST",6.38442966023884e-73,0.598478199692667,0.446,0.129,1.36735330033335e-68,"9","CNST"
"PTPRE2",1.28566930604102e-72,0.903567698287457,0.546,0.192,2.75351795274805e-68,"9","PTPRE"
"CRIM1",1.49366460272054e-72,0.734021040921324,0.535,0.183,3.19898147964658e-68,"9","CRIM1"
"RPS131",4.46182103533727e-72,0.528341027053059,1,0.998,9.55588211138182e-68,"9","RPS13"
"GRAMD1A",1.36264945717763e-71,0.419890632269459,0.306,0.062,2.91838634243733e-67,"9","GRAMD1A"
"SYNGR22",1.70084511850604e-71,0.677874704561287,0.529,0.175,3.64269999030439e-67,"9","SYNGR2"
"TAOK2",2.18127928120744e-71,0.343637831653113,0.329,0.07,4.67164583656197e-67,"9","TAOK2"
"MBNL11",4.92136429518533e-71,0.973779654105299,0.808,0.521,1.05400859109984e-66,"9","MBNL1"
"FNBP1L",3.30338410326604e-70,0.390672238797681,0.279,0.053,7.07485773396487e-66,"9","FNBP1L"
"SERPINE12",3.73072377299627e-70,1.7428357871912,0.682,0.365,7.99009110462611e-66,"9","SERPINE1"
"IL32",4.91007198595573e-70,0.974322093926698,0.418,0.116,1.05159011723214e-65,"9","IL32"
"CYTH12",5.7335125318672e-69,0.635515556194468,0.526,0.178,1.22794637895e-64,"9","CYTH1"
"RPL29",6.0690332356869e-69,0.543964322778634,0.997,0.997,1.29980484808706e-64,"9","RPL29"
"PRCP1",9.95744001562175e-69,1.07703384093999,0.777,0.496,2.13258492814571e-64,"9","PRCP"
"MYL12A1",1.72490275556762e-68,0.815883005682439,0.969,0.918,3.69422423159916e-64,"9","MYL12A"
"BCAR1",4.73135961782374e-68,0.557872134476538,0.448,0.136,1.01331528934931e-63,"9","BCAR1"
"TAP1",5.22952564768021e-68,0.855071086682182,0.593,0.246,1.12000750796367e-63,"9","TAP1"
"UPP12",6.20908087153513e-68,0.873105929060206,0.627,0.27,1.32979885025668e-63,"9","UPP1"
"RPL211",8.89411765716161e-68,0.440018221802229,1,1,1.9048531786343e-63,"9","RPL21"
"ITGA102",1.26997651754487e-67,0.682234082721665,0.518,0.171,2.71990870762584e-63,"9","ITGA10"
"RPL112",1.9505034279238e-67,0.481545558842615,1,1,4.1773931915844e-63,"9","RPL11"
"COL4A2",3.23720616378509e-67,1.19760736751771,0.669,0.336,6.93312444097853e-63,"9","COL4A2"
"UTRN",6.62096288939465e-67,0.805175543898729,0.618,0.263,1.41801162202165e-62,"9","UTRN"
"HEG1",7.77210529953634e-67,0.892460602188856,0.705,0.353,1.6645517920017e-62,"9","HEG1"
"RBPMS",1.33815117707886e-66,0.463575001679088,0.409,0.111,2.86591837594978e-62,"9","RBPMS"
"CHD7",1.50962731965331e-66,0.319583755833788,0.27,0.052,3.2331688305015e-62,"9","CHD7"
"ACTN11",2.01919976565102e-66,0.897076982556517,0.791,0.431,4.32452013809478e-62,"9","ACTN1"
"EIF4B",2.62039977717067e-66,0.904863988279678,0.889,0.659,5.61211020276642e-62,"9","EIF4B"
"RPS25",4.40657693100013e-66,0.461410537668488,0.997,0.999,9.43756581312299e-62,"9","RPS25"
"KIAA1551",5.47860925034305e-66,0.451045373774911,0.379,0.095,1.17335374314597e-61,"9","KIAA1551"
"CTTNBP2NL1",5.91551566937363e-66,0.553066579505326,0.443,0.131,1.26692599090975e-61,"9","CTTNBP2NL"
"RPL372",1.61753270195019e-65,0.550177502572601,1,0.999,3.46426978776672e-61,"9","RPL37"
"RPS3A2",3.36043492738356e-65,0.510235376502551,1,0.998,7.19704348397736e-61,"9","RPS3A"
"ZNF462",7.70388750728907e-65,0.362184220205592,0.262,0.051,1.6499415874361e-60,"9","ZNF462"
"H3F3A1",2.57020705159001e-64,0.674823404844722,0.989,0.99,5.50461244239033e-60,"9","H3F3A"
"CD320",3.10743154525106e-64,0.866951125081682,0.674,0.315,6.6551861404642e-60,"9","CD320"
"NDRG1",4.644927986331e-64,0.963913806509436,0.852,0.61,9.94804226832511e-60,"9","NDRG1"
"RPS15",5.94621476115294e-64,0.430679994327886,1,0.999,1.27350081539612e-59,"9","RPS15"
"SYNPO2",6.59289600340794e-64,0.672472181579914,0.51,0.182,1.41200053704988e-59,"9","SYNPO"
"ATP1A11",9.43794942157089e-64,0.90367804711036,0.855,0.722,2.02132562761784e-59,"9","ATP1A1"
"EVA1C",1.52072161424178e-63,0.470889983791363,0.351,0.089,3.25692948122163e-59,"9","EVA1C"
"TJP2",1.78027601536685e-63,0.409786013031217,0.34,0.082,3.81281714211119e-59,"9","TJP2"
"DUSP231",2.9427404443383e-63,1.09914424978453,0.671,0.351,6.30246720963935e-59,"9","DUSP23"
"INPP1",4.09977012911054e-63,0.506690392275872,0.462,0.145,8.78047768551605e-59,"9","INPP1"
"RPS27A1",5.28671619355828e-63,0.447292843154504,1,0.999,1.13225600717438e-58,"9","RPS27A"
"SASH1",5.85059244828872e-63,0.66634250536624,0.574,0.228,1.25302138464999e-58,"9","SASH1"
"ACTN4",5.86210230930348e-63,0.929477953493489,0.772,0.517,1.25548645158353e-58,"9","ACTN4"
"INSR",6.26278699292068e-63,0.963061699543256,0.485,0.167,1.34130109027382e-58,"9","INSR"
"APOL3",7.32111724381152e-63,0.480345683875843,0.37,0.098,1.56796368010711e-58,"9","APOL3"
"RPL22",1.56975531316147e-62,0.50980430318621,1,0.996,3.36194495419792e-58,"9","RPL22"
"RPL132",3.24326872986122e-62,0.483741018583189,1,1,6.94610863874378e-58,"9","RPL13"
"CDH132",3.97317238201599e-62,0.976423919443846,0.627,0.286,8.50934329056364e-58,"9","CDH13"
"RPL8",7.03471930208159e-62,0.486202183106192,1,0.999,1.50662583292681e-57,"9","RPL8"
"FBXO34",1.68854426860399e-61,0.515226837015132,0.354,0.092,3.61635526006917e-57,"9","FBXO34"
"LRRFIP13",1.8148695304102e-61,0.816971873340418,0.891,0.642,3.88690607327952e-57,"9","LRRFIP1"
"GFOD2",1.86774100814591e-61,0.455513026881636,0.387,0.107,4.0001409171461e-57,"9","GFOD2"
"RPS92",1.91394782172757e-61,0.467779442468046,1,0.999,4.09910204979393e-57,"9","RPS9"
"PSMB9",2.28552864819902e-61,0.74850072536063,0.63,0.272,4.89491670584784e-57,"9","PSMB9"
"PGF",2.73689251951586e-61,0.74964999741357,0.435,0.135,5.86160270904713e-57,"9","PGF"
"RILPL21",2.94743382034103e-60,0.757677193684112,0.655,0.316,6.31251901302439e-56,"9","RILPL2"
"TNFSF102",7.30174313346138e-60,0.788646299144531,0.579,0.233,1.56381432689342e-55,"9","TNFSF10"
"SVIL",1.831233589668e-59,0.761411638024522,0.666,0.322,3.92195297899197e-55,"9","SVIL"
"MGAT4A1",2.85077505106102e-59,0.275931402559637,0.259,0.051,6.10550492685738e-55,"9","MGAT4A"
"CARD162",3.07025370138514e-59,0.331724961796617,0.298,0.065,6.57556235225656e-55,"9","CARD16"
"RPS141",3.11135758717e-59,0.455761364908096,1,0.999,6.66359454444198e-55,"9","RPS14"
"PTPRM",6.27773433519404e-59,0.565304989004584,0.426,0.139,1.34450236256851e-54,"9","PTPRM"
"EEF1A1",1.17063783851957e-58,0.402747011392731,1,1,2.50715505875736e-54,"9","EEF1A1"
"IL6ST1",2.54415393852032e-58,0.908280559061311,0.816,0.602,5.44881449012898e-54,"9","IL6ST"
"CTSC2",2.81979082775596e-58,0.563010476210781,0.443,0.134,6.03914601580495e-54,"9","CTSC"
"ADIRF3",3.37489150599506e-58,1.01090856061557,0.975,0.896,7.22800513838963e-54,"9","ADIRF"
"RPL30",8.50763206281654e-58,0.420473149955388,1,0.999,1.82207955889342e-53,"9","RPL30"
"KBTBD2",8.86838775862481e-58,0.540611078089219,0.474,0.166,1.89934260626468e-53,"9","KBTBD2"
"TJP1",5.50261960071189e-57,0.686570092913,0.602,0.276,1.17849603988446e-52,"9","TJP1"
"RPLP21",7.01739683181622e-57,0.377553615614786,1,0.999,1.50291587947008e-52,"9","RPLP2"
"ICAM13",1.83234768563835e-56,1.14818126196204,0.705,0.39,3.92433903833166e-52,"9","ICAM1"
"NACA",3.87886834231143e-56,0.466959415013488,1,0.995,8.30737232872838e-52,"9","NACA"
"ICAM2",4.72402475311873e-56,0.563999319639891,0.418,0.135,1.01174438137544e-51,"9","ICAM2"
"FGD5",6.68731965019783e-56,0.49487558399364,0.401,0.122,1.43222324948287e-51,"9","FGD5"
"CLDN15",9.20635491932516e-56,0.308484569164305,0.262,0.056,1.97172503307187e-51,"9","CLDN15"
"KLF21",1.44307838155361e-55,0.777978530043999,0.454,0.158,3.09064096977336e-51,"9","KLF2"
"GLTSCR21",1.47085431731233e-55,0.75726398977071,0.939,0.86,3.15012869138783e-51,"9","GLTSCR2"
"IFITM22",2.03385517118818e-55,0.638182571921431,0.981,0.888,4.35590762013373e-51,"9","IFITM2"
"IFI44L",1.12043918465029e-54,0.392259979799705,0.287,0.067,2.39964460176552e-50,"9","IFI44L"
"BTF3",4.48953780042465e-54,0.472921028013246,1,0.986,9.61524310716948e-50,"9","BTF3"
"CFLAR2",6.49136430565278e-54,0.741018779290364,0.702,0.388,1.39025549334166e-49,"9","CFLAR"
